TOPIC,PROBLEM LINK,SOLUTION
Dynamic Programming,Coin ChangeProblem,"1. Problem Summary:
   The Coin Change Problem involves finding the number of ways to make a certain amount (target) using a given set of denominations of coins. The coins can be used unlimited times.

2. Approach:
   The optimal solution uses dynamic programming to build up a solution using smaller sub-problems. We create an array `dp` where `dp[i]` will store the number of ways to make amount `i` using the given coins. We initialize `dp[0]` to 1 since there is exactly one way to make zero amount (using no coins). For each coin, we update the `dp` array for all amounts that can be reached or exceeded by that coin. For each coin and for each relevant amount, we add the number of ways to make the amount by including the current coin, which is derived from the value `dp[current amount - coin value]`.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int countWaysToMakeChange(vector<int>& coins, int amount) {
    vector<int> dp(amount + 1, 0);
    dp[0] = 1; // Base case: one way to make amount 0

    for (int coin : coins) {
        for (int i = coin; i <= amount; i++) {
            dp[i] += dp[i - coin];
        }
    }
    return dp[amount];
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n*m) and the space complexity is O(m), where n is the number of coins and m is the target amount."
Dynamic Programming,Knapsack Problem,"1. Problem Summary: The Knapsack Problem involves selecting a subset of items, each with a weight and a value, to maximize the total value without exceeding a given weight capacity. It's a fundamental problem in combinatorial optimization.

2. Approach: The optimal algorithm for the 0/1 Knapsack Problem uses dynamic programming. We create a 2D array `dp` where `dp[i][w]` represents the maximum value achievable with the first `i` items and a maximum weight limit of `w`. We iterate through each item and for each weight capacity from 0 to `W` (total capacity), we decide whether to include the current item or not. If including the item yields a higher value (considering the weight it adds doesn't exceed the current capacity), we update our `dp` table accordingly. This approach builds up the solution by considering smaller subproblems (smaller sets of items and capacities) and using their solutions to construct the solution for larger problems.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int knapsack(vector<int>& values, vector<int>& weights, int W) {
    int n = values.size();
    vector<vector<int>> dp(n+1, vector<int>(W+1, 0));

    for (int i = 1; i <= n; i++) {
        for (int w = 0; w <= W; w++) {
            if (weights[i-1] <= w)
                dp[i][w] = max(dp[i-1][w], dp[i-1][w-weights[i-1]] + values[i-1]);
            else
                dp[i][w] = dp[i-1][w];
        }
    }
    return dp[n][W];
}
```

4. Time Complexity and Space Complexity: The time and space complexity of the solution is O(nW), where `n` is the number of items and `W` is the maximum weight capacity."
Dynamic Programming,Binomial CoefficientProblem,"1. Problem Summary: The Binomial Coefficient Problem involves calculating the number of ways to choose \( k \) items from \( n \) items without regard to the order, denoted as \( C(n, k) \). The formula for this is \( C(n, k) = \frac{n!}{k!(n-k)!} \).

2. Approach: A direct computation using factorials can be inefficient and prone to overflow for large \( n \). Instead, we use dynamic programming to build a table \( C \) where \( C[i][j] \) represents \( C(i, j) \). This approach exploits the recursive property \( C(n, k) = C(n-1, k-1) + C(n-1, k) \), with base cases \( C(i, 0) = 1 \) and \( C(i, i) = 1 \). We iteratively fill up the table using these relations, which avoids redundant calculations and manages large numbers efficiently by computing only required values.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int binomialCoeff(int n, int k) {
    vector<vector<int>> C(n+1, vector<int>(k+1, 0));
    
    for (int i = 0; i <= n; i++) {
        for (int j = 0; j <= min(i, k); j++) {
            if (j == 0 || j == i)
                C[i][j] = 1;
            else
                C[i][j] = C[i-1][j-1] + C[i-1][j];
        }
    }
    return C[n][k];
}
```

4. Time Complexity and Space Complexity: The time complexity is \( O(n \times k) \) and the space complexity is also \( O(n \times k) \), where \( n \) is the total number of items and \( k \) is the number of items to choose."
Dynamic Programming,Permutation CoefficientProblem,"1. Problem Summary: The Permutation Coefficient Problem involves calculating the number of ways to arrange `k` objects out of `n` available objects. This is mathematically represented as `P(n, k) = n! / (n-k)!`.

2. Approach: To solve this problem using dynamic programming, we can create a two-dimensional table `dp` where `dp[i][j]` represents `P(i, j)`. Start by initializing the values where `j == 0` (since `P(i, 0) = 1` for any `i`) and `i == j` (since `P(i, i) = i!`). For other values, use the relation `P(n, k) = P(n-1, k) + k * P(n-1, k-1)` to fill up the table, which leverages previously computed values to find the current permutation value. This approach avoids recalculating factorials repeatedly and utilizes prior computations effectively.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int permutationCoeff(int n, int k) {
    vector<vector<int>> dp(n+1, vector<int>(k+1, 0));
    
    for (int i = 0; i <= n; i++) {
        for (int j = 0; j <= min(i, k); j++) {
            if (j == 0)
                dp[i][j] = 1;
            else
                dp[i][j] = dp[i-1][j] + j * dp[i-1][j-1];
        }
    }
    return dp[n][k];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n*k) and the space complexity is O(n*k) as well, due to the storage of a 2D array."
Dynamic Programming,Program for nth Catalan Number,"1. Problem Summary:  
   The Catalan numbers form a sequence of natural numbers with significant applications in combinatorial mathematics. The nth Catalan number is used in various counting problems, such as counting the number of expressions containing n pairs of correctly matched parentheses.

2. Approach:  
   The nth Catalan number can be calculated using dynamic programming based on its recursive nature. The formula for the nth Catalan number is `C(n) = sum(C(i) * C(n-i-1) for i from 0 to n-1)`. We start by initializing the base case, where the zeroth Catalan number is 1 (C(0) = 1). We then iteratively compute the values for subsequent Catalan numbers using previously computed values. This approach leverages the overlapping subproblems and optimal substructure properties typical in dynamic programming, storing intermediate results to avoid redundant calculations.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int catalanNumber(int n) {
    vector<int> catalan(n + 1, 0);
    catalan[0] = 1; // Base case

    for (int i = 1; i <= n; i++) {
        for (int j = 0; j < i; j++) {
            catalan[i] += catalan[j] * catalan[i - j - 1];
        }
    }
    return catalan[n];
}
```

4. Time Complexity and Space Complexity:  
   The time complexity is O(n^2) due to the nested loops for calculating each Catalan number, and the space complexity is O(n) to store the Catalan numbers up to nth."
Dynamic Programming,Matrix Chain Multiplication ,"1. Problem Summary: Matrix Chain Multiplication involves finding the most efficient way to multiply a given sequence of matrices. The goal is to determine the order of multiplications that minimizes the total number of scalar multiplications.

2. Approach: The problem is approached using dynamic programming by breaking it down into smaller subproblems. Each subproblem calculates the minimum cost of multiplying a subchain of matrices. We use a 2D table `dp` where `dp[i][j]` represents the minimum number of multiplications needed to multiply matrices from index `i` to `j`. The main idea is to try every possible place to split the product into two parts, recursively solving for each part, and then combine their results with the cost of multiplying the resulting two matrices. This approach ensures that all possible matrix splits are considered to find the optimal solution.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int MatrixChainOrder(int p[], int n) {
    vector<vector<int>> dp(n, vector<int>(n, 0));

    for (int length = 2; length < n; length++) { // length of the chain
        for (int i = 1; i < n - length + 1; i++) {
            int j = i + length - 1;
            dp[i][j] = INT_MAX;
            for (int k = i; k < j; k++) {
                int cost = dp[i][k] + dp[k + 1][j] + p[i - 1] * p[k] * p[j];
                dp[i][j] = min(dp[i][j], cost);
            }
        }
    }
    return dp[1][n - 1];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^3) and space complexity is O(n^2), where n is the number of matrices."
Dynamic Programming,Edit Distance,"1. Problem Summary: 
The Edit Distance problem, also known as the Levenshtein distance, measures the minimum number of operations required to transform one string into another. The operations allowed are insertion, deletion, or substitution of a single character.

2. Approach: 
The dynamic programming approach constructs a matrix `dp` where `dp[i][j]` represents the minimum edit distance between the first `i` characters of string `s` and the first `j` characters of string `t`. Start by initializing the first row and column of the matrix to represent transformations from an empty string to prefixes of each string. For each cell `dp[i][j]`, determine the cost to convert substrings by considering the last operation needed (insert, delete, replace), and take the minimum cost among these operations. Specifically, if the characters `s[i-1]` and `t[j-1]` are the same, take the value from `dp[i-1][j-1]` directly; otherwise, consider 1 plus the minimum of the three possible preceding values.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int editDistance(string s, string t) {
    int m = s.length(), n = t.length();
    vector<vector<int>> dp(m + 1, vector<int>(n + 1));
    for (int i = 0; i <= m; i++) dp[i][0] = i;
    for (int j = 0; j <= n; j++) dp[0][j] = j;

    for (int i = 1; i <= m; i++) {
        for (int j = 1; j <= n; j++) {
            if (s[i-1] == t[j-1])
                dp[i][j] = dp[i-1][j-1];
            else
                dp[i][j] = 1 + min({dp[i-1][j], dp[i][j-1], dp[i-1][j-1]});
        }
    }
    return dp[m][n];
}
```

4. Time Complexity and Space Complexity: 
The time complexity is O(m*n) and the space complexity is also O(m*n), where m and n are the lengths of the two input strings."
Dynamic Programming,Subset Sum Problem,"1. Problem Summary: The Subset Sum Problem is a decision problem where given a set of non-negative integers and a target sum, one must determine whether there is a subset of the numbers in the set that adds up to exactly the target sum.

2. Approach: The optimal solution utilizes dynamic programming. We construct a boolean DP table where `dp[i][j]` represents whether there is a subset with sum `j` using the first `i` items. Initialize `dp[0][0]` to `true` (empty subset sums to zero) and `dp[0][j]` for all `j>0` to `false`. For each item and each target sum, update the table based on whether excluding or including the current item allows reaching the desired sum. The solution to the problem is found at `dp[n][sum]`, where `n` is the number of items.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool subsetSum(vector<int>& nums, int sum) {
    int n = nums.size();
    vector<vector<bool>> dp(n + 1, vector<bool>(sum + 1, false));
    dp[0][0] = true;

    for (int i = 1; i <= n; i++) {
        for (int j = 0; j <= sum; j++) {
            if (j >= nums[i-1])
                dp[i][j] = dp[i-1][j] || dp[i-1][j-nums[i-1]];
            else
                dp[i][j] = dp[i-1][j];
        }
    }
    return dp[n][sum];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n*sum) and the space complexity is O(n*sum), where `n` is the number of elements and `sum` is the target sum."
Dynamic Programming,Friends Pairing Problem,"1. Problem Summary:
   The Friends Pairing Problem involves finding the number of ways to pair up friends uniquely or leave them single, given `n` friends. Each friend can either pair up with another friend or remain single.

2. Approach:
   The problem can be solved using dynamic programming. For each friend `i`, there are two choices: either the friend remains single, or pairs up with any of the previous `i-1` friends. If the friend remains single, the problem reduces to solving for `i-1` friends. If the friend pairs up with one of the previous friends, then you solve the problem for `i-2` friends because two friends are paired up. The recurrence relation is thus `dp[i] = dp[i-1] + (i-1) * dp[i-2]`, where `dp[i]` is the number of ways to pair up `i` friends. Initialize with `dp[1] = 1` (1 friend can only stay single) and `dp[2] = 2` (2 friends can either stay single or pair up).

3. Pseudo-code:
   ```cpp
   #include <bits/stdc++.h>
   using namespace std;

   int countPairings(int n) {
       vector<int> dp(n+1, 0);
       dp[1] = 1; // one friend can only be single
       if (n > 1) dp[2] = 2; // two friends can either pair up or stay single

       for (int i = 3; i <= n; i++) {
           dp[i] = dp[i-1] + (i-1) * dp[i-2];
       }
       return dp[n];
   }
   ```

4. Time Complexity and Space Complexity:
   The time complexity is O(n) due to the single loop up to `n`, and the space complexity is also O(n) due to the storage needed for the dynamic programming array `dp`."
Dynamic Programming,Gold Mine Problem,"1. Problem Summary: In the Gold Mine Problem, given a grid of gold mines where each cell contains a certain amount of gold, the goal is to collect the maximum amount of gold starting from any column in the first row and moving to one of the three possible cells in the next row (right-up, right, or right-down) until the miner reaches the last row.

2. Approach: The problem can be efficiently solved using dynamic programming. Create a 2D array `dp` where `dp[i][j]` stores the maximum gold that can be collected from the first row to cell `(i, j)`. Start by copying the first row of the gold grid into the first row of the `dp` array. For each subsequent row, calculate `dp[i][j]` by considering the maximum gold collected from the three possible preceding cells (from the row above) and adding the current cell's gold. After filling up the `dp` table, the answer will be the maximum value in the last row of the `dp` array. This approach ensures that all possible paths are considered without redundant calculations, making it optimal for this problem.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int getMaxGold(vector<vector<int>>& gold) {
    int m = gold.size(), n = gold[0].size();
    vector<vector<int>> dp(m, vector<int>(n, 0));
    
    // Initialize the first row of dp array
    for (int j = 0; j < n; j++) {
        dp[0][j] = gold[0][j];
    }
    
    // Fill the dp array
    for (int i = 1; i < m; i++) {
        for (int j = 0; j < n; j++) {
            int upLeft = (j > 0) ? dp[i-1][j-1] : 0;
            int up = dp[i-1][j];
            int upRight = (j < n-1) ? dp[i-1][j+1] : 0;
            dp[i][j] = gold[i][j] + max({upLeft, up, upRight});
        }
    }
    
    // Find the maximum gold collected
    int maxGold = 0;
    for (int j = 0; j < n; j++) {
        maxGold = max(maxGold, dp[m-1][j]);
    }
    
    return maxGold;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(m*n) and the space complexity is O(m*n), where m is the number of rows and n is the number of columns in the grid."
