TOPIC,PROBLEM NAME,URL,SOLUTION
Binary Trees,level order traversal,https://practice.geeksforgeeks.org/problems/level-order-traversal/1,"1. Problem Summary: Level order traversal of a binary tree involves visiting all the nodes at each depth level from left to right before moving on to nodes at the next depth level. This is also known as Breadth-First Search (BFS) traversal for trees.

2. Approach: The optimal method to achieve level order traversal is by using a queue. Start by pushing the root node into the queue. While the queue is not empty, remove the front node, record its value, and then push its left and right children (if they exist) into the queue in that order. This ensures that nodes are visited level by level and from left to right within each level. The use of the queue is crucial as it naturally follows the FIFO (First In First Out) principle required for level order traversal.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

vector<vector<int>> levelOrderTraversal(TreeNode* root) {
    vector<vector<int>> result;
    if (root == nullptr) return result;
    
    queue<TreeNode*> q;
    q.push(root);
    
    while (!q.empty()) {
        int levelSize = q.size();
        vector<int> currentLevel;
        
        for (int i = 0; i < levelSize; ++i) {
            TreeNode* node = q.front();
            q.pop();
            currentLevel.push_back(node->val);
            if (node->left != nullptr) q.push(node->left);
            if (node->right != nullptr) q.push(node->right);
        }
        
        result.push_back(currentLevel);
    }
    
    return result;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the number of nodes in the tree, since each node is processed exactly once. The space complexity is O(m), where m is the maximum number of nodes at any level in the tree, which is required for the queue."
Binary Trees,Reverse Level Order traversal,https://practice.geeksforgeeks.org/problems/reverse-level-order-traversal/1,"1. Problem Summary: Reverse Level Order traversal of a binary tree involves traversing the tree from the bottom level to the top level, and from left to right within each level. The output is a list of node values in this specific order.

2. Approach: The optimal way to achieve Reverse Level Order traversal is by using a queue for level order traversal and a stack to reverse the order. Start by pushing the root node into the queue. For each node processed, push its children (first right, then left to maintain left-to-right order in final output) into the queue. Simultaneously, push the node's value into a stack. This ensures that the lowermost nodes' values are on top of the stack. After processing all nodes, pop values from the stack to get them in bottom-up order.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

vector<int> reverseLevelOrderTraversal(TreeNode* root) {
    vector<int> result;
    if (!root) return result;
    
    queue<TreeNode*> q;
    stack<int> s;
    q.push(root);
    
    while (!q.empty()) {
        TreeNode* current = q.front();
        q.pop();
        s.push(current->val);
        
        if (current->right) 
            q.push(current->right);
        if (current->left) 
            q.push(current->left);
    }
    
    while (!s.empty()) {
        result.push_back(s.top());
        s.pop();
    }
    
    return result;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(N) where N is the number of nodes in the tree, as each node is processed exactly once. The space complexity is also O(N) due to the usage of a queue and a stack, both of which can hold at most N elements in the worst case."
Binary Trees,Height of a tree,https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1,"1. Problem Summary: The height of a binary tree is defined as the maximum depth from the root node to the furthest leaf node. The problem involves determining this height for a given binary tree.

2. Approach: To find the height of a binary tree, we can use a recursive approach. Starting from the root, recursively determine the height of the left and right subtrees. The height of the tree rooted at any node will be one more than the maximum height of its left and right subtrees. This approach leverages the divide-and-conquer strategy by breaking the problem down into smaller subproblems (i.e., heights of subtrees) and combining their results. The recursion naturally follows the tree structure, making it intuitive and easy to remember.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* left;
    Node* right;
};

int height(Node* node) {
    if (node == NULL)
        return 0; // Base case: the height of an empty tree is 0
    int leftHeight = height(node->left); // Recursively find the height of the left subtree
    int rightHeight = height(node->right); // Recursively find the height of the right subtree
    return 1 + max(leftHeight, rightHeight); // The height of the tree is the max of the heights of its subtrees plus one
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the number of nodes in the tree, as each node is visited once. The space complexity is O(h), where h is the height of the tree, due to the recursion stack."
Binary Trees,Diameter of a tree,https://practice.geeksforgeeks.org/problems/diameter-of-binary-tree/1,"1. Problem Summary: The diameter of a binary tree is the length of the longest path between any two nodes in the tree. This path may or may not pass through the root.

2. Approach: Calculate the height of the tree recursively while keeping track of the maximum diameter found so far. For each node, the potential diameter is the sum of the heights of its left and right subtrees. Update the maximum diameter at each node. The height of a node is calculated as 1 plus the maximum height of its left or right subtree. This approach ensures that each node is visited once and both height and maximum path calculations are done in the same traversal, optimizing the process.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct TreeNode {
    int val;
    TreeNode *left, *right;
    TreeNode(int x) : val(x), left(nullptr), right(nullptr) {}
};

int diameterOfBinaryTree(TreeNode* root) {
    int maxDiameter = 0;

    function<int(TreeNode*)> depth = [&](TreeNode* node) {
        if (!node) return 0;
        int leftHeight = depth(node->left);
        int rightHeight = depth(node->right);
        maxDiameter = max(maxDiameter, leftHeight + rightHeight);
        return 1 + max(leftHeight, rightHeight);
    };

    depth(root);
    return maxDiameter;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the number of nodes in the tree, since each node is visited once. The space complexity is O(h), where h is the height of the tree, due to recursive stack space."
Binary Trees,Mirror of a tree,https://www.geeksforgeeks.org/create-a-mirror-tree-from-the-given-binary-tree/,"1. Problem Summary: 
   The ""Mirror of a tree"" problem involves creating a mirror image of a binary tree such that the structure of the tree is flipped around its central axis. In simpler terms, all left children become right children and vice versa throughout the entire tree.

2. Approach: 
   To mirror a binary tree, we recursively swap the left and right children of every node in the tree. Start from the root and swap its children, then recursively apply the same procedure to the left child (which after swapping becomes the right child) and the right child (which becomes the left child). This recursive approach ensures that each subtree is mirrored. The process is intuitive as it mimics the physical action of flipping or mirroring an image, where elements on the left move to the right and vice versa.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct TreeNode {
    int val;
    TreeNode *left;
    TreeNode *right;
    TreeNode(int x) : val(x), left(nullptr), right(nullptr) {}
};

void mirrorTree(TreeNode* root) {
    if (root == nullptr) return;

    // Swap the left and right children
    swap(root->left, root->right);

    // Recursively mirror the subtrees
    mirrorTree(root->left);
    mirrorTree(root->right);
}
```

4. Time Complexity and Space Complexity: 
   The time complexity is O(n), where n is the number of nodes in the tree, as each node is visited once. The space complexity is O(h), where h is the height of the tree, due to the recursive stack space used."
Binary Trees,Inorder Traversal of a tree both using recursion and Iteration,https://www.techiedelight.com/inorder-tree-traversal-iterative-recursive/,"1. Problem Summary: 
Inorder traversal of a binary tree involves visiting the nodes in a left-root-right sequence. This problem can be solved using both recursive and iterative methods.

2. Approach: 
For the recursive approach, the function calls itself to traverse the left subtree, then processes the current node, and finally calls itself to traverse the right subtree. This is a natural and straightforward method following the definition of inorder traversal. For the iterative approach, a stack is used to simulate the recursion. Start by pushing all left children of the root into the stack until there are no more left children. Then, pop a node from the stack, process it, and if it has a right child, repeat the process starting from this right child. This method effectively mimics the recursive stack behavior using an explicit stack data structure.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

// Recursive approach
void inorderRecursive(TreeNode* root, vector<int>& result) {
    if (root == nullptr) return;
    inorderRecursive(root->left, result);
    result.push_back(root->val);
    inorderRecursive(root->right, result);
}

// Iterative approach
vector<int> inorderIterative(TreeNode* root) {
    vector<int> result;
    stack<TreeNode*> stk;
    TreeNode* current = root;
    
    while (current != nullptr || !stk.empty()) {
        while (current != nullptr) {
            stk.push(current);
            current = current->left;
        }
        current = stk.top(); stk.pop();
        result.push_back(current->val);
        current = current->right;
    }
    return result;
}
```

4. Time Complexity and Space Complexity: 
Both recursive and iterative approaches have a time complexity of O(n), where n is the number of nodes in the tree. The space complexity is also O(n) in the worst case due to the depth of the recursion stack or the size of the iterative stack, respectively."
Binary Trees,Preorder Traversal of a tree both using recursion and Iteration,https://www.techiedelight.com/preorder-tree-traversal-iterative-recursive/,"1. Problem Summary: Preorder traversal of a binary tree involves visiting the root node first, followed by the recursive traversal of the left subtree, and then the right subtree. The challenge is to implement this traversal both recursively and using an iterative approach.

2. Approach: 
   - Recursive Approach: Begin at the root and process it (e.g., print/store the value). Recursively apply the same procedure first to the left child and then to the right child. This approach directly follows the definition of preorder traversal.
   - Iterative Approach: Use a stack to simulate the recursion. Start by pushing the root node onto the stack. While the stack is not empty, pop the top node, process it, and push its right child followed by its left child onto the stack (right child first to ensure the left child is processed first as the stack is LIFO).

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct TreeNode {
    int val;
    TreeNode *left, *right;
    TreeNode(int x) : val(x), left(NULL), right(NULL) {}
};

// Recursive Preorder Traversal
void preorderTraversalRecursive(TreeNode* root) {
    if (root == NULL) return;
    cout << root->val << "" "";
    preorderTraversalRecursive(root->left);
    preorderTraversalRecursive(root->right);
}

// Iterative Preorder Traversal
void preorderTraversalIterative(TreeNode* root) {
    if (root == NULL) return;
    stack<TreeNode*> stk;
    stk.push(root);
    while (!stk.empty()) {
        TreeNode* node = stk.top();
        stk.pop();
        cout << node->val << "" "";
        if (node->right) stk.push(node->right);
        if (node->left) stk.push(node->left);
    }
}
```

4. Time Complexity and Space Complexity: Both recursive and iterative approaches have a time complexity of O(n), where n is the number of nodes in the tree. The space complexity is also O(n) due to the use of the system stack for recursion or an explicit stack for the iterative approach."
Binary Trees,Postorder Traversal of a tree both using recursion and Iteration,https://www.techiedelight.com/postorder-tree-traversal-iterative-recursive/,"1. Problem Summary: 
   The task is to perform a postorder traversal on a binary tree, where each node is visited in the order of left child, right child, and then the node itself. This traversal should be implemented using both recursive and iterative methods.

2. Approach:
   For the recursive approach, the function recursively calls itself first on the left child, then on the right child, and finally processes the current node. For the iterative approach, use two stacks. Push the root to the first stack. Pop from the first stack, and push the node to the second stack, then push its left and then right children to the first stack. Continue until the first stack is empty. The second stack will have the nodes in postorder when popped. This method leverages the LIFO property of stacks to reverse the order of processing nodes.

3. Pseudo-code:
   ```cpp
   #include <bits/stdc++.h>
   using namespace std;

   struct TreeNode {
       int val;
       TreeNode *left, *right;
       TreeNode(int x) : val(x), left(nullptr), right(nullptr) {}
   };

   // Recursive approach
   void postorderTraversalRecursive(TreeNode* root, vector<int>& result) {
       if (root == nullptr) return;
       postorderTraversalRecursive(root->left, result);
       postorderTraversalRecursive(root->right, result);
       result.push_back(root->val);
   }

   // Iterative approach
   vector<int> postorderTraversalIterative(TreeNode* root) {
       if (root == nullptr) return {};
       vector<int> result;
       stack<TreeNode*> s1, s2;
       s1.push(root);
       while (!s1.empty()) {
           TreeNode* node = s1.top(); s1.pop();
           s2.push(node);
           if (node->left) s1.push(node->left);
           if (node->right) s1.push(node->right);
       }
       while (!s2.empty()) {
           result.push_back(s2.top()->val);
           s2.pop();
       }
       return result;
   }
   ```

4. Time Complexity and Space Complexity:
   Both recursive and iterative approaches have a time complexity of O(n), where n is the number of nodes in the tree. The space complexity is also O(n) due to the use of system stack in recursion and explicit stacks in the iterative method."
Binary Trees,Left View of a tree,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1,"1. Problem Summary:
   The ""Left View of a Tree"" problem involves printing or returning the nodes visible when a binary tree is viewed from the left side. This view captures the first node visible at each level when traversed from top to bottom.

2. Approach:
   The optimal way to solve this problem is by using a level-order traversal (Breadth-First Search) with the help of a queue. Start by pushing the root node into the queue. For each level, the number of elements in the queue corresponds to the number of nodes at that level. Process each level by dequeuing all nodes of the current level and enqueueing all children of these nodes. The first node dequeued at each level is part of the left view. This approach ensures that you always process the leftmost node of each level first, capturing the left view effectively.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

vector<int> leftView(TreeNode* root) {
    vector<int> result;
    if (root == NULL) return result;

    queue<TreeNode*> q;
    q.push(root);

    while (!q.empty()) {
        int levelSize = q.size();
        for (int i = 0; i < levelSize; ++i) {
            TreeNode* node = q.front();
            q.pop();
            if (i == 0) result.push_back(node->val); // Add the first node of each level to the result
            if (node->left != NULL) q.push(node->left);
            if (node->right != NULL) q.push(node->right);
        }
    }
    return result;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(N), where N is the number of nodes in the tree, since each node is processed exactly once. The space complexity is O(W), where W is the maximum width of the tree, reflecting the maximum size of the queue."
Binary Trees,Right View of Tree,https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1,"1. Problem Summary:
   The ""Right View of Tree"" problem involves finding the list of nodes visible when the tree is viewed from the right side. This view captures one node per level, specifically the rightmost node at each depth of the tree.

2. Approach:
   To solve the problem, utilize a breadth-first search (BFS) with a queue. Start by pushing the root into the queue. For each level of the tree, determine the number of nodes (i.e., `levelSize`), and iterate through these nodes. For each node processed, check if it's the last node in the current level (`i == levelSize - 1`); if so, this is the rightmost node, and you add it to your result list. Continue to enqueue the left and right children of the current node to the queue if they exist. This approach ensures that you process nodes level by level, capturing the rightmost node of each level.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

vector<int> rightSideView(TreeNode* root) {
    vector<int> result;
    if (!root) return result;

    queue<TreeNode*> q;
    q.push(root);

    while (!q.empty()) {
        int levelSize = q.size();
        for (int i = 0; i < levelSize; ++i) {
            TreeNode* node = q.front();
            q.pop();
            if (i == levelSize - 1) {
                result.push_back(node->val);
            }
            if (node->left) q.push(node->left);
            if (node->right) q.push(node->right);
        }
    }
    return result;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(N) as each node is processed exactly once, where N is the number of nodes in the tree. The space complexity is O(D) to hold the queue, where D is the diameter of the tree."
