TOPIC,PROBLEM NAME,URL,SOLUTION
Array,Reverse the array,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/,"1. Problem Summary: The task is to reverse the elements of a given array. This means transforming the array so that the first element becomes the last, the second element becomes the second to last, and so on, effectively reversing the order of all elements.

2. Approach: The optimal way to reverse an array is to use two-pointer technique. Initialize two pointers, one at the start (`begin`) and one at the end (`end`) of the array. Swap the elements at these pointers, then move the `begin` pointer one step forward and the `end` pointer one step backward. Continue this process until the `begin` pointer is greater than or equal to the `end` pointer. This method efficiently reverses the array in-place, minimizing the need for extra space and additional operations. The swapping directly alters the array, making it easy to remember and implement during coding interviews.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void reverseArray(vector<int>& arr) {
    int begin = 0;
    int end = arr.size() - 1;
    while (begin < end) {
        swap(arr[begin], arr[end]);
        begin++;
        end--;
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the number of elements in the array, as each element is visited once. The space complexity is O(1), as the reversal is done in place without using extra space."
Array,Find the maximum and minimum element in an array,https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/,"1. Problem Summary: The task is to find both the maximum and minimum elements in a given array of integers. This is a fundamental problem that tests basic array traversal and comparison operations.

2. Approach: The optimal way to solve this problem is by using a single traversal of the array. Start by initializing two variables, `maxElement` and `minElement`, to the first element of the array. As you iterate through the array, compare each element with `maxElement` and `minElement`. If an element is greater than `maxElement`, update `maxElement`. Similarly, if an element is less than `minElement`, update `minElement`. This approach ensures that each element is compared only once with the current maximum and minimum, making it highly efficient.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

pair<int, int> findMaxMin(vector<int>& arr) {
    if (arr.empty()) return {-1, -1}; // Handle empty array case

    int maxElement = arr[0];
    int minElement = arr[0];
    for (int i = 1; i < arr.size(); i++) {
        if (arr[i] > maxElement) {
            maxElement = arr[i];
        }
        if (arr[i] < minElement) {
            minElement = arr[i];
        }
    }
    return {maxElement, minElement};
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the number of elements in the array, as each element is visited once. The space complexity is O(1) since only a constant amount of extra space is used."
Array,"Find the ""Kth"" max and min element of an array ",https://practice.geeksforgeeks.org/problems/kth-smallest-element/0,"1. Problem Summary: The task is to find the Kth smallest and Kth largest elements in an unsorted array. This is a common problem that tests understanding of array sorting and element retrieval.

2. Approach: The optimal approach to find the Kth smallest and Kth largest elements involves sorting the array first and then directly accessing the elements. After sorting, the Kth smallest element is at the (K-1)th index, and the Kth largest element is at the (n-K)th index, where n is the number of elements in the array. This method leverages the efficiency of modern sorting algorithms and provides a direct way to access the desired elements without additional computations.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

pair<int, int> findKthElements(vector<int>& arr, int K) {
    sort(arr.begin(), arr.end()); // Sort the array
    int n = arr.size();
    int kthMin = arr[K-1]; // Kth smallest element
    int kthMax = arr[n-K]; // Kth largest element
    return {kthMin, kthMax};
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the sorting step, and the space complexity is O(1) if in-place sorting is used."
Array,"Given an array which consists of only 0, 1 and 2. Sort the array without using any sorting algo",https://practice.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s/0,"1. Problem Summary: The task is to sort an array that contains only the integers 0, 1, and 2. The challenge is to do this sorting without using any conventional sorting algorithm, ensuring an efficient solution.

2. Approach: The optimal algorithm for this problem is known as the Dutch National Flag algorithm, proposed by Edsger Dijkstra. The algorithm segregates the array into three sections corresponding to 0s, 1s, and 2s, using three pointers: `low`, `mid`, and `high`. Initially, `low` and `mid` are set to the start of the array, and `high` is set to the end. Traverse the array with the `mid` pointer: if the element at `mid` is 0, swap it with the element at `low` and increment both `low` and `mid`. If it's 1, just increment `mid`. If it's 2, swap it with the element at `high` and decrement `high`, without moving `mid`. This way, the algorithm efficiently groups all 0s to the beginning, 1s in the middle, and 2s to the end.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

void sortColors(vector<int>& nums) {
    int low = 0, mid = 0, high = nums.size() - 1;
    while (mid <= high) {
        switch(nums[mid]) {
            case 0:
                swap(nums[low++], nums[mid++]);
                break;
            case 1:
                mid++;
                break;
            case 2:
                swap(nums[mid], nums[high--]);
                break;
        }
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) as each element is processed once. The space complexity is O(1) as the sorting is done in place without using extra space."
Array,Move all the negative elements to one side of the array ,https://www.geeksforgeeks.org/move-negative-numbers-beginning-positive-end-constant-extra-space/,"1. Problem Summary: The task is to rearrange the elements in an array such that all negative numbers are moved to one side of the array. The order of positive elements and negative elements does not need to be maintained.

2. Approach: A two-pointer technique can be effectively used to solve this problem. Initialize two pointers, `left` starting from the beginning of the array and `right` from the end. Move `left` forward until you find a positive number and `right` backward until you find a negative number, then swap these elements. This process is repeated until `left` is greater than `right`. This approach intuitively separates negatives and positives by direct comparison and swapping, making it easy to remember and implement.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

void moveNegativesToOneSide(vector<int>& arr) {
    int left = 0, right = arr.size() - 1;
    while (left <= right) {
        if (arr[left] < 0) {
            left++;
        } else if (arr[right] >= 0) {
            right--;
        } else {
            swap(arr[left], arr[right]);
            left++;
            right--;
        }
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the number of elements in the array, and the space complexity is O(1), as no additional data structures are used."
Array,Find the Union and Intersection of the two sorted arrays.,https://practice.geeksforgeeks.org/problems/union-of-two-arrays/0,"1. Problem Summary: 
   The task is to find the union and intersection of two sorted arrays. The union contains all unique elements from both arrays, while the intersection includes elements that are present in both arrays.

2. Approach: 
   Utilize two pointers to traverse both arrays simultaneously. For the union, compare elements at both pointers; add the smaller element to the result and move the respective pointer. If elements are equal, add one to the result and move both pointers. For the intersection, only add the element to the result if the elements at both pointers are equal, then move both pointers. This approach leverages the sorted nature of the arrays, allowing efficient comparison and insertion without needing additional sorting.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

vector<int> findUnion(int arr1[], int arr2[], int n, int m) {
    vector<int> unionResult;
    int i = 0, j = 0;
    while (i < n && j < m) {
        if (arr1[i] < arr2[j]) {
            if (unionResult.empty() || unionResult.back() != arr1[i])
                unionResult.push_back(arr1[i]);
            i++;
        } else if (arr1[i] > arr2[j]) {
            if (unionResult.empty() || unionResult.back() != arr2[j])
                unionResult.push_back(arr2[j]);
            j++;
        } else {
            if (unionResult.empty() || unionResult.back() != arr1[i])
                unionResult.push_back(arr1[i]);
            i++;
            j++;
        }
    }
    while (i < n) {
        if (unionResult.empty() || unionResult.back() != arr1[i])
            unionResult.push_back(arr1[i]);
        i++;
    }
    while (j < m) {
        if (unionResult.empty() || unionResult.back() != arr2[j])
            unionResult.push_back(arr2[j]);
        j++;
    }
    return unionResult;
}

vector<int> findIntersection(int arr1[], int arr2[], int n, int m) {
    vector<int> intersectionResult;
    int i = 0, j = 0;
    while (i < n && j < m) {
        if (arr1[i] < arr2[j])
            i++;
        else if (arr1[i] > arr2[j])
            j++;
        else {
            if (intersectionResult.empty() || intersectionResult.back() != arr1[i])
                intersectionResult.push_back(arr1[i]);
            i++;
            j++;
        }
    }
    return intersectionResult;
}
```

4. Time Complexity and Space Complexity: 
   The time complexity is O(n + m) where n and m are the lengths of the two arrays, as each array is traversed at most once. The space complexity is O(n + m) for storing the results."
Array,Write a program to cyclically rotate an array by one.,https://practice.geeksforgeeks.org/problems/cyclically-rotate-an-array-by-one/0,"1. Problem Summary: The task is to cyclically rotate the elements of an array to the right by one position, such that the last element moves to the first position in the array, and all other elements shift one position to the right.

2. Approach: The optimal way to approach this problem is to first store the last element of the array, as it will be moved to the first position. Then, iterate through the array from the end to the beginning, shifting each element one position to the right. Finally, place the stored last element into the first position of the array. This approach is intuitive as it mimics the action of taking the last piece of a puzzle out and then sliding all other pieces rightward, before placing the removed piece into the new gap at the beginning.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

void cyclicRotateByOne(vector<int>& arr) {
    int n = arr.size();
    if (n == 0) return; // Handle empty array case
    int lastElement = arr[n - 1]; // Store the last element
    for (int i = n - 1; i > 0; i--) {
        arr[i] = arr[i - 1]; // Shift elements to the right
    }
    arr[0] = lastElement; // Place the last element at the first position
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) as we traverse through the array once, and the space complexity is O(1) since no additional space is used apart from a few variables."
Array,find Largest sum contiguous Subarray [V. IMP],https://practice.geeksforgeeks.org/problems/kadanes-algorithm/0,"1. Problem Summary:  
The task is to find the maximum sum of a contiguous subarray within a given one-dimensional integer array. This is a classic problem to demonstrate the use of dynamic programming for optimization.

2. Approach:  
The optimal algorithm for this problem is Kadane’s Algorithm. It involves initializing two variables, `current_sum` and `max_sum`, to the first element of the array. As you iterate through the array starting from the second element, update `current_sum` to be the maximum of the current array element and the sum of `current_sum` with this element. This step decides whether to start a new subarray or to continue the current subarray. Then, update `max_sum` to be the maximum of itself and `current_sum`. This process effectively builds up the solution by considering each element's contribution to the maximum sum and deciding at each step whether to start fresh or build on the existing sum.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int maxSubArraySum(vector<int>& nums) {
    int n = nums.size();
    int max_sum = nums[0];
    int current_sum = nums[0];

    for (int i = 1; i < n; i++) {
        current_sum = max(nums[i], current_sum + nums[i]);
        max_sum = max(max_sum, current_sum);
    }
    return max_sum;
}
```

4. Time Complexity and Space Complexity:  
The time complexity is O(n) where n is the number of elements in the array, as it processes each element exactly once. The space complexity is O(1), as it uses a constant amount of extra space."
Array,Minimise the maximum difference between heights [V.IMP],https://practice.geeksforgeeks.org/problems/minimize-the-heights3351/1,"1. Problem Summary: The problem is to adjust the heights of the given array of towers, either by increasing or decreasing each tower's height by a fixed amount `k`, and then find the minimum possible difference between the tallest and shortest tower heights after the adjustment.

2. Approach: First, sort the array of tower heights. The maximum difference without any adjustments is between the first and last elements of the sorted array. For each tower, consider increasing the height of shorter towers (those before and including the middle) by `k` and decreasing the height of taller towers (those after the middle) by `k`. At each step, calculate the potential maximum and minimum heights that could result from these adjustments and update the minimum difference accordingly. This approach leverages the sorted order to systematically test the effect of adjustments on the range of heights.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int minimizeMaxDiff(vector<int>& heights, int k) {
    sort(heights.begin(), heights.end());
    int n = heights.size();
    int maxDiff = heights[n-1] - heights[0];

    for (int i = 0; i < n - 1; i++) {
        int maxH = max(heights[n-1] - k, heights[i] + k);
        int minH = min(heights[0] + k, heights[i+1] - k);
        maxDiff = min(maxDiff, maxH - minH);
    }
    return maxDiff;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to sorting, and the space complexity is O(1) as no additional significant space is used beyond input modifications."
Array,Minimum no. of Jumps to reach end of an array,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps/0,"1. Problem Summary: The problem is to find the minimum number of jumps required to reach the end of a given array of integers, where each element represents the maximum jump length from that position.

2. Approach: Use a greedy algorithm to solve this problem efficiently. Start from the first element and maintain variables for the current maximum reach, the steps possible within the current reach, and the count of jumps taken. Traverse the array, and for each element, update the maximum reach. If the current index reaches the end of the steps allowed by the previous jump, increment the jump count and update the steps to the maximum reach. This approach ensures that each step is optimized to extend the reach as far as possible before making another jump.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int minJumps(vector<int>& arr) {
    int n = arr.size();
    if (n <= 1) return 0;
    if (arr[0] == 0) return -1;

    int maxReach = arr[0];
    int step = arr[0];
    int jump = 1;

    for (int i = 1; i < n; i++) {
        if (i == n - 1) return jump;
        maxReach = max(maxReach, i + arr[i]);
        step--;
        if (step == 0) {
            if (i >= maxReach) return -1;
            jump++;
            step = maxReach - i;
        }
    }
    return -1;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) as each element is processed once. The space complexity is O(1) as no additional space proportional to the input size is used."
