TOPIC,PROBLEM NAME,URL,SOLUTION
String,Reverse a String,https://leetcode.com/problems/reverse-string/,"1. Problem Summary: The problem requires reversing the given string such that the characters in the string are in the opposite order from their original positions.

2. Approach: The optimal way to reverse a string is to use two pointers, one at the beginning and one at the end of the string. Swap the characters at these pointers and then move them towards each other - the start pointer moving forward and the end pointer moving backward. This process is repeated until the two pointers meet or cross each other. This approach directly manipulates the string in place, making it intuitive as you visually see characters swapping places, which helps in easy remembrance and replication in coding interviews.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void reverseString(string &s) {
    int start = 0;
    int end = s.length() - 1;
    while (start < end) {
        swap(s[start], s[end]);
        start++;
        end--;
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the length of the string, and the space complexity is O(1) as it modifies the string in place."
String,Check whether a String is Palindrome or not,https://practice.geeksforgeeks.org/problems/palindrome-string0817/1,"1. Problem Summary: The task is to determine if a given string is a palindrome. A palindrome is a string that reads the same forward and backward, ignoring case, spaces, and punctuation.

2. Approach: The optimal way to check for a palindrome is to use two pointers: one starting at the beginning of the string and the other at the end. Move both pointers toward the center, comparing the characters they point to at each step. If all corresponding characters are the same, then the string is a palindrome. This method is intuitive as it mirrors the definition of a palindrome by checking symmetry directly from the outside in, which is easy to remember and implement.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

bool isPalindrome(string s) {
    int left = 0, right = s.length() - 1;
    while (left < right) {
        if (s[left] != s[right]) {
            return false;
        }
        left++;
        right--;
    }
    return true;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the length of the string, as we potentially check each character once. The space complexity is O(1), as no additional space proportional to the input size is used."
String,Find Duplicate characters in a string,https://www.geeksforgeeks.org/print-all-the-duplicates-in-the-input-string/,"1. Problem Summary: The task is to identify and return all characters that appear more than once in a given string. This helps in understanding character frequency and repetition in text processing.

2. Approach: Utilize a hash map to count occurrences of each character as you iterate through the string. This method leverages the hash map's O(1) average time complexity for insertions and lookups, making it efficient for counting. After populating the hash map, iterate through the map to collect characters that have a count greater than one. This approach ensures that each character is processed in constant time and the results are gathered efficiently.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

vector<char> findDuplicateCharacters(string s) {
    unordered_map<char, int> charCount;
    vector<char> duplicates;

    // Count each character in the string
    for (char c : s) {
        charCount[c]++;
    }

    // Collect characters that appear more than once
    for (auto& pair : charCount) {
        if (pair.second > 1) {
            duplicates.push_back(pair.first);
        }
    }

    return duplicates;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the length of the string, due to a single pass through the string and another through the map. Space complexity is O(k), where k is the number of unique characters in the string."
String,Why strings are immutable in Java?,,"1. Problem Summary: 
   The question explores why strings in Java are designed to be immutable, meaning once a string object is created, its value cannot be changed.

2. Approach: 
   The immutability of Java strings is not an algorithmic problem but a design choice made for several reasons. First, immutability enhances security as strings often carry sensitive data, and immutable objects are naturally thread-safe, simplifying multi-threaded programming. Additionally, string immutability allows reliable and efficient caching of hash codes, which is beneficial since strings are frequently used as keys in hash tables. Understanding these reasons helps in recognizing the advantages of immutability in system design, particularly in environments where security and performance are crucial.

3. Pseudo-code:
```cpp
// Not applicable as this is a conceptual explanation, not an algorithmic problem
```

4. Time Complexity and Space Complexity: 
   Not applicable as this is a theoretical discussion on the nature of string immutability in Java."
String,Write a Code to check whether one string is a rotation of another,https://www.geeksforgeeks.org/a-program-to-check-if-strings-are-rotations-of-each-other/,"1. Problem Summary: The problem involves determining if one string is a rotation of another string. For instance, if you rotate the string ""waterbottle"" at a certain point, it can produce ""erbottlewat"".

2. Approach: The key insight is to check if the second string (s2) is a substring of the first string (s1) concatenated with itself. This is because any rotation of s1 will appear as a substring in s1+s1. For example, ""waterbottlewaterbottle"" contains ""erbottlewat"". To implement this, concatenate s1 with itself and then use a substring search function (like the one provided by the string class in C++) to check if s2 is a substring of the concatenated result. This approach is intuitive and easy to remember, leveraging the properties of string rotation and substring search.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool isRotation(string s1, string s2) {
    if (s1.length() != s2.length()) return false;
    string temp = s1 + s1;
    return (temp.find(s2) != string::npos);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the length of the string, and the space complexity is O(n) due to the storage of the concatenated string."
String,Write a Program to check whether a string is a valid shuffle of two strings or not,https://www.programiz.com/java-programming/examples/check-valid-shuffle-of-strings,"1. Problem Summary: 
   The problem requires checking if a given string `result` can be formed by interleaving the characters of two other strings `s1` and `s2` without changing the relative order of characters within `s1` and `s2`.

2. Approach: 
   To solve this problem, use a dynamic programming approach where a 2D table `dp` is constructed. `dp[i][j]` will be true if the first `i` characters of `s1` and the first `j` characters of `s2` can form the first `i+j` characters of `result`. Initialize `dp[0][0]` to true since two empty strings can form an empty string. For each character in `result`, check if it matches the current character in `s1` or `s2` and the previous values in the table allow for this match. Continue this process until the entire `result` string is processed. The answer will be in `dp[length of s1][length of s2]`.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

bool isValidShuffle(string s1, string s2, string result) {
    int m = s1.length(), n = s2.length();
    if (m + n != result.length()) return false;
    
    vector<vector<bool>> dp(m + 1, vector<bool>(n + 1, false));
    dp[0][0] = true;
    
    for (int i = 0; i <= m; ++i) {
        for (int j = 0; j <= n; ++j) {
            if (i > 0 && s1[i-1] == result[i+j-1])
                dp[i][j] = dp[i][j] || dp[i-1][j];
            if (j > 0 && s2[j-1] == result[i+j-1])
                dp[i][j] = dp[i][j] || dp[i][j-1];
        }
    }
    
    return dp[m][n];
}
```

4. Time Complexity and Space Complexity: 
   The time complexity is O(m*n) and the space complexity is also O(m*n), where m and n are the lengths of strings `s1` and `s2`, respectively."
String,Count and Say problem,https://leetcode.com/problems/count-and-say/,"1. Problem Summary:
   The ""Count and Say"" problem involves generating a sequence where each term is read off from the digits of the previous term, counting the number of digits in groups of the same digit.

2. Approach:
   To solve the problem, start with the initial term ""1"". For each subsequent term, iterate through the current term, count consecutive identical digits, and append the count followed by the digit to the next term. Use two loops: the outer loop to iterate through terms up to the desired sequence number, and the inner loop to build each term from the previous one. This approach builds intuition by visualizing the process as reading aloud counts of consecutive characters, which helps in remembering and coding during interviews.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

string countAndSay(int n) {
    if (n == 1) return ""1"";
    string previous = ""1"";
    string current;

    for (int i = 2; i <= n; i++) {
        current = """";
        int count = 1;
        for (int j = 1; j < previous.length(); j++) {
            if (previous[j] == previous[j - 1]) {
                count++;
            } else {
                current += to_string(count) + previous[j - 1];
                count = 1;
            }
        }
        current += to_string(count) + previous[previous.length() - 1];
        previous = current;
    }
    return current;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n * m) and the space complexity is O(m), where n is the input number and m is the maximum length of the term generated."
String,Write a program to find the longest Palindrome in a string.[ Longest palindromic Substring],https://practice.geeksforgeeks.org/problems/longest-palindrome-in-a-string/0,"1. Problem Summary: The problem is to find the longest palindromic substring within a given string. A palindrome reads the same backward as forward, and the goal is to identify the longest contiguous sequence that satisfies this property.

2. Approach: The optimal approach to solve this problem uses the ""expand around center"" technique. This method involves expanding from every possible center of the palindrome, which could be a single character (for odd-length palindromes) or a pair of consecutive characters (for even-length palindromes). For each center, expand outwards and compare characters until the characters are not the same, effectively checking for the longest palindrome centered at that point. This technique avoids the need for additional space required by dynamic programming solutions and is straightforward to implement during an interview.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

string longestPalindrome(string s) {
    if (s.size() < 2) return s;

    int start = 0, maxLen = 1;
    auto expandAroundCenter = [&](int left, int right) {
        while (left >= 0 && right < s.size() && s[left] == s[right]) {
            left--;
            right++;
        }
        int len = right - left - 1;
        if (len > maxLen) {
            maxLen = len;
            start = left + 1;
        }
    };

    for (int i = 0; i < s.size(); i++) {
        expandAroundCenter(i, i);   // Odd length palindromes
        expandAroundCenter(i, i + 1); // Even length palindromes
    }

    return s.substr(start, maxLen);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^2), where n is the length of the string, due to the potential expansion around each index. The space complexity is O(1) as only a few variables are used."
String,Find Longest Recurring Subsequence in String,https://practice.geeksforgeeks.org/problems/longest-repeating-subsequence/0,"1. Problem Summary: The task is to find the length of the longest subsequence in a given string that appears at least twice. The characters in the subsequence do not need to be consecutive, but their order must be maintained.

2. Approach: The problem can be solved using a dynamic programming approach similar to the Longest Common Subsequence (LCS) problem, but with a twist. Instead of comparing two different strings, we compare the string with itself while ensuring that we do not consider the same character twice unless they are at different positions. We create a 2D DP table where `dp[i][j]` represents the length of the longest recurring subsequence between substrings ending at index `i-1` and `j-1`. If characters at these positions are the same and `i` is not equal to `j`, we consider it part of the recurring subsequence. Otherwise, we take the maximum value from either excluding the current character from the first substring or the second substring.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int longestRecurringSubseq(string s) {
    int n = s.size();
    vector<vector<int>> dp(n+1, vector<int>(n+1, 0));

    for (int i = 1; i <= n; i++) {
        for (int j = 1; j <= n; j++) {
            if (s[i-1] == s[j-1] && i != j)
                dp[i][j] = 1 + dp[i-1][j-1];
            else
                dp[i][j] = max(dp[i-1][j], dp[i][j-1]);
        }
    }
    return dp[n][n];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^2) and the space complexity is also O(n^2), where n is the length of the string."
String,Print all Subsequences of a string.,https://www.geeksforgeeks.org/print-subsequences-string/,"1. Problem Summary:
   Subsequences of a string are derived by deleting some or no characters without changing the order of the remaining characters. The task is to print all possible subsequences of a given string.

2. Approach:
   The optimal way to find all subsequences is by using recursion to explore each character's inclusion and exclusion. Start by considering an empty subsequence and at each step, recursively decide whether to include the current character in the subsequence or not. This binary choice for each character leads to all possible subsequences. Using a helper function can simplify the management of the current subsequence and the index of the next character to consider. This approach naturally fits into a recursive tree structure, where each node represents a state with or without the current character.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void printSubsequences(string &s, int index, string curr) {
    if (index == s.length()) { // Base case: end of string
        cout << curr << endl;
        return;
    }
    // Include the current character
    printSubsequences(s, index + 1, curr + s[index]);
    // Exclude the current character
    printSubsequences(s, index + 1, curr);
}

int main() {
    string s;
    cin >> s;
    printSubsequences(s, 0, """"); // Start from index 0 with an empty current subsequence
    return 0;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(2^n) due to the binary decision at each of the n characters, and the space complexity is O(n) for the recursion stack depth."
String,Print all the permutations of the given string,https://practice.geeksforgeeks.org/problems/permutations-of-a-given-string/0,"1. Problem Summary: The task is to generate all possible permutations of a given string. Each permutation is a rearrangement of the characters in the string, where each character must appear exactly as many times as it does in the input string.

2. Approach: The optimal way to approach this problem is by using backtracking. Start by fixing one character at a time and recursively fixing the next characters. Swap each character with itself and with every character that comes after it, then proceed to find permutations of the substring excluding the fixed character. After each recursive call, swap the characters back to restore the original string configuration before the next iteration. This swapping ensures all characters are considered as the starting character of the substring in subsequent recursive calls.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

void permute(string &s, int l, int r) {
    if (l == r) {
        cout << s << endl;
    } else {
        for (int i = l; i <= r; i++) {
            swap(s[l], s[i]);       // Swap for the next permutation
            permute(s, l + 1, r);  // Recurse for the rest of the string
            swap(s[l], s[i]);       // Swap back to restore the original string
        }
    }
}

void printAllPermutations(string s) {
    permute(s, 0, s.length() - 1);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n*n!) where n is the length of the string, due to generating n! permutations and taking O(n) time for each. The space complexity is O(n) due to the depth of the recursion stack."
String,Split the Binary string into two substring with equal 0’s and 1’s,https://www.geeksforgeeks.org/split-the-binary-string-into-substrings-with-equal-number-of-0s-and-1s/,"1. Problem Summary: Given a binary string, the task is to find the maximum number of splits such that each substring contains an equal number of 0's and 1's. The string only consists of characters '0' and '1'.

2. Approach: Start by iterating through the string while counting the occurrences of '0's and '1's. Whenever the counts of both '0's and '1's are equal at any point in the string, increment a counter. This counter essentially represents a valid split point where the substrings on either side of this point have equal numbers of '0's and '1's. Reset the counts after finding each valid split to look for the next potential split. The approach leverages the idea that balanced substrings can be identified by matching counts of '0's and '1's as we traverse the string.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int maxSplits(string s) {
    int count0 = 0, count1 = 0, validSplits = 0;
    for (char c : s) {
        if (c == '0') count0++;
        else count1++;
        if (count0 == count1) validSplits++;
    }
    return validSplits;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the length of the string, as we traverse the string once. The space complexity is O(1) since we use a constant amount of extra space."
String,Word Wrap Problem [VERY IMP].,https://practice.geeksforgeeks.org/problems/word-wrap/0,"1. Problem Summary:  
   The Word Wrap Problem involves arranging a sequence of words in such a way that they fit within a fixed width per line, minimizing the total cost of the extra spaces left at the end of each line, except the last one.

2. Approach:  
   The optimal algorithm for the Word Wrap Problem is a dynamic programming solution. We define a cost function that calculates the cost of placing words from i to j on a single line. This cost typically increases as the extra space at the end of the line increases. We maintain a table `dp[]` where `dp[i]` represents the minimum cost of wrapping words from 1 to i. For each word, we consider all possible ways to wrap the words before it and select the one with the minimum cost that does not exceed the line width. This approach builds up the solution by considering all subproblems of wrapping the first k words for k = 1 to n, where n is the total number of words.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int solveWordWrap(vector<int>& words, int maxWidth) {
    int n = words.size();
    vector<int> dp(n, INT_MAX);
    vector<int> cost(n, 0);

    for (int i = 0; i < n; i++) {
        int len = -1;
        for (int j = i; j < n; j++) {
            len += words[j] + 1;
            if (len > maxWidth) break;
            int extra = maxWidth - len;
            cost[j] = (j == n-1) ? 0 : extra * extra;
            if (i == 0)
                dp[j] = min(dp[j], cost[j]);
            else if (dp[i-1] != INT_MAX)
                dp[j] = min(dp[j], dp[i-1] + cost[j]);
        }
    }
    return dp[n-1];
}
```

4. Time Complexity and Space Complexity:  
   The time complexity is O(n^2) due to the nested loops for calculating cost, and space complexity is O(n) for storing the dp and cost arrays."
