TOPIC,PROBLEM LINK,SOLUTION
Binary Search Trees,Fina a value in a BST,"1. Problem Summary: The task is to determine if a specific value exists within a Binary Search Tree (BST). A BST is a binary tree where each node has at most two children, and for any node, all values in its left subtree are less, and all values in its right subtree are greater than the node's value.

2. Approach: Start by comparing the target value with the value of the root node. If they match, the search is successful. If the target value is less than the current node's value, recursively search the left subtree; if greater, search the right subtree. This divide-and-conquer strategy leverages the ordered nature of BSTs, efficiently narrowing down the possible locations of the target value. This method is intuitive as it mimics the decision-making process of eliminating half of the remaining possibilities at each step, similar to binary search in a sorted array.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

bool findInBST(TreeNode* root, int val) {
    if (root == nullptr) return false; // Base case: value not found
    if (root->val == val) return true; // Base case: value found
    if (val < root->val) 
        return findInBST(root->left, val); // Search left subtree
    else 
        return findInBST(root->right, val); // Search right subtree
}
```

4. Time Complexity and Space Complexity: The time complexity is O(h) where h is the height of the tree, and the space complexity is O(h) due to the recursion stack, which in the worst case (a skewed tree) is proportional to the height of the tree."
Binary Search Trees,Deletion of a node in a BST,"1. Problem Summary:
   Deleting a node from a Binary Search Tree (BST) involves removing the node while maintaining the BST properties such that for any given node, the left subtree contains only nodes with values less than the node’s value, and the right subtree only nodes with values greater than the node’s value.

2. Approach:
   To delete a node in a BST, three main scenarios need to be considered: deleting a leaf node, a node with one child, and a node with two children. For a leaf node, simply remove it. For a node with one child, remove the node and link its parent to its child. The most complex case is when the node has two children; here, find the in-order successor (smallest value in the right subtree), copy its value to the node to be deleted, and then recursively delete the in-order successor. This method ensures that the BST properties are preserved after the deletion.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int key;
    Node *left, *right;
};

Node* deleteNode(Node* root, int key) {
    if (root == nullptr) return root;
    if (key < root->key) {
        root->left = deleteNode(root->left, key);
    } else if (key > root->key) {
        root->right = deleteNode(root->right, key);
    } else {
        if (root->left == nullptr) {
            Node *temp = root->right;
            delete root;
            return temp;
        } else if (root->right == nullptr) {
            Node *temp = root->left;
            delete root;
            return temp;
        }
        Node* temp = minValueNode(root->right);
        root->key = temp->key;
        root->right = deleteNode(root->right, temp->key);
    }
    return root;
}

Node* minValueNode(Node* node) {
    Node* current = node;
    while (current && current->left != nullptr)
        current = current->left;
    return current;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(h) where h is the height of the tree, and the space complexity is O(h) due to the recursion stack, in the worst case (unbalanced tree)."
Binary Search Trees,Find min and max value in a BST,"1. Problem Summary: The task is to find the minimum and maximum values stored in a Binary Search Tree (BST). In a BST, each node contains a key greater than all the keys in its left subtree and less than all the keys in its right subtree.

2. Approach: To find the minimum value in a BST, continuously traverse the left child of each node starting from the root until a node with no left child is found; this node contains the minimum value. Similarly, to find the maximum value, traverse the right child of each node starting from the root until a node with no right child is found; this node contains the maximum value. These operations leverage the inherent properties of BSTs, making the search efficient and intuitive by following the left-most and right-most paths respectively.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int key;
    Node *left, *right;
};

int findMin(Node* root) {
    if (root == NULL) throw ""BST is empty"";
    while (root->left != NULL) {
        root = root->left;
    }
    return root->key;
}

int findMax(Node* root) {
    if (root == NULL) throw ""BST is empty"";
    while (root->right != NULL) {
        root = root->right;
    }
    return root->key;
}
```

4. Time Complexity and Space Complexity: Both finding min and max operations have a time complexity of O(h), where h is the height of the tree. The space complexity is O(1) since no additional space is used beyond pointers."
Binary Search Trees,Find inorder successor and inorder predecessor in a BST,"1. Problem Summary: In a Binary Search Tree (BST), the task is to find the inorder predecessor and inorder successor of a given node. The inorder predecessor is the previous node in the inorder traversal of the BST, and the inorder successor is the next node in the inorder traversal.

2. Approach: To find the inorder successor and predecessor, we utilize the properties of BST. For the successor, if the node has a right subtree, the successor is the leftmost node in that subtree. If there's no right subtree, the successor is the lowest ancestor for which the given node lies in its left subtree. The predecessor is found similarly: if the node has a left subtree, the predecessor is the rightmost node in that subtree; otherwise, it's the lowest ancestor for which the given node lies in its right subtree. This approach leverages BST properties to efficiently navigate to the required nodes.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int key;
    Node *left, *right;
};

Node* findMin(Node* node) {
    while (node->left != NULL)
        node = node->left;
    return node;
}

Node* findMax(Node* node) {
    while (node->right != NULL)
        node = node->right;
    return node;
}

Node* findInorderSuccessor(Node* root, Node* x) {
    if (x->right != NULL)
        return findMin(x->right);

    Node* successor = NULL;
    while (root != NULL) {
        if (x->key < root->key) {
            successor = root;
            root = root->left;
        } else if (x->key > root->key) {
            root = root->right;
        } else
            break;
    }
    return successor;
}

Node* findInorderPredecessor(Node* root, Node* x) {
    if (x->left != NULL)
        return findMax(x->left);

    Node* predecessor = NULL;
    while (root != NULL) {
        if (x->key > root->key) {
            predecessor = root;
            root = root->right;
        } else if (x->key < root->key) {
            root = root->left;
        } else
            break;
    }
    return predecessor;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(h) where h is the height of the tree, which can be O(log n) in a balanced BST and O(n) in the worst case. The space complexity is O(1) as no additional space is used apart from temporary variables."
Binary Search Trees,Check if a tree is a BST or not ,"1. Problem Summary: The task is to determine whether a given binary tree is a Binary Search Tree (BST). A BST is defined as a tree where each node has a value greater than all the values in its left subtree and less than all the values in its right subtree.

2. Approach: The optimal way to check if a binary tree is a BST is by using a recursive function that tracks the permissible range of values for each node. Starting with the root, the allowable range begins with negative infinity to positive infinity. As we traverse left, the maximum permissible value becomes the parent node's value; traversing right, the minimum permissible value becomes the parent node's value. This ensures that each node's value complies with the BST properties relative to its position in the tree.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct TreeNode {
    int val;
    TreeNode *left, *right;
    TreeNode(int x) : val(x), left(nullptr), right(nullptr) {}
};

bool isBSTUtil(TreeNode* node, long long minVal, long long maxVal) {
    if (node == nullptr) return true;
    if (node->val <= minVal || node->val >= maxVal) return false;
    return isBSTUtil(node->left, minVal, node->val) && isBSTUtil(node->right, node->val, maxVal);
}

bool isBST(TreeNode* root) {
    return isBSTUtil(root, LLONG_MIN, LLONG_MAX);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the number of nodes in the tree, since we visit each node once. The space complexity is O(h), where h is the height of the tree, due to the recursion stack."
Binary Search Trees,Populate Inorder successor of all nodes,"1. Problem Summary: The task is to populate each node in a binary search tree (BST) with its inorder successor. The inorder successor of a node is the next node in the inorder traversal of the BST.

2. Approach: The optimal way to solve this problem is by using a reverse inorder traversal (right, root, left). Start from the rightmost node, which is the last node in an inorder sequence, and move to the leftmost node. Keep track of the previously visited node. As you traverse, set the current node's inorder successor to this previously visited node, then update the previously visited node to the current node. This way, each node directly links to its inorder successor without the need for additional data structures. This approach effectively links all nodes with their successors in a single pass.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node *left, *right, *next;
};

void populateInorderSuccessor(Node* root, Node*& prev) {
    if (root == nullptr) return;

    // Traverse the right subtree first
    populateInorderSuccessor(root->right, prev);

    // Set the next of the current node to the previous node
    root->next = prev;

    // Update previous node to current
    prev = root;

    // Traverse the left subtree
    populateInorderSuccessor(root->left, prev);
}

void populateNext(Node* root) {
    Node* prev = nullptr;
    populateInorderSuccessor(root, prev);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) as each node is visited once. The space complexity is O(h), where h is the height of the tree, due to the recursion stack during the traversal."
Binary Search Trees,Find LCA  of 2 nodes in a BST,"1. Problem Summary:
   In a Binary Search Tree (BST), the Lowest Common Ancestor (LCA) of two nodes is the deepest node that is an ancestor to both nodes. The problem is to find this LCA given two node values.

2. Approach:
   In a BST, values to the left of a node are smaller and values to the right are larger. Starting from the root, if both nodes are smaller than the current node, move to the left child. If both are larger, move to the right child. If one node is on the left and the other is on the right, or if the current node matches one of the nodes, then the current node is the LCA. This approach leverages the BST properties to efficiently find the LCA without searching the entire tree.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct TreeNode {
    int val;
    TreeNode *left, *right;
    TreeNode(int x) : val(x), left(NULL), right(NULL) {}
};

TreeNode* findLCA(TreeNode* root, int n1, int n2) {
    while (root != NULL) {
        if (root->val > n1 && root->val > n2)
            root = root->left; // both nodes are in the left subtree
        else if (root->val < n1 && root->val < n2)
            root = root->right; // both nodes are in the right subtree
        else
            return root; // found the split point or exactly one of the nodes
    }
    return NULL; // if the nodes are not found in the tree
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(h) where h is the height of the tree, and the space complexity is O(1) as no extra space is used."
Binary Search Trees,Construct BST from preorder traversal,"1. Problem Summary: 
   The problem requires constructing a Binary Search Tree (BST) from a given preorder traversal array. In a BST, the left subtree of a node contains only nodes with keys less than the node's key, and the right subtree only nodes with keys greater than the node's key.

2. Approach: 
   The key observation is that in a preorder sequence, the first element is always the root, and the sequence naturally divides into left and right subtrees: elements smaller than the root go to the left subtree, and elements larger go to the right. We can use recursion to construct the tree by choosing the root and recursively constructing the left and right subtrees. To efficiently find the boundary between left and right subtrees, we can maintain a range for allowable values (min, max) that gets updated as we move down the tree, ensuring each value fits within a valid BST range.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct TreeNode {
    int val;
    TreeNode *left, *right;
    TreeNode(int x) : val(x), left(nullptr), right(nullptr) {}
};

TreeNode* constructBST(vector<int>& preorder, int& index, int min, int max) {
    if (index >= preorder.size()) return nullptr;
    int val = preorder[index];
    if (val < min || val > max) return nullptr;
    TreeNode* root = new TreeNode(val);
    index++;
    root->left = constructBST(preorder, index, min, val);
    root->right = constructBST(preorder, index, val, max);
    return root;
}

TreeNode* bstFromPreorder(vector<int>& preorder) {
    int index = 0;
    return constructBST(preorder, index, INT_MIN, INT_MAX);
}
```

4. Time Complexity and Space Complexity: 
   The time complexity is O(n) where n is the number of nodes, as each node is processed once. The space complexity is O(h) where h is the height of the tree, which is used by the recursion stack."
Binary Search Trees,Convert Binary tree into BST,"1. Problem Summary: The problem is to convert a given binary tree into a binary search tree (BST) while maintaining the original structure of the binary tree. The new BST should have the same set of nodes as the original tree but rearranged to satisfy the BST properties.

2. Approach: The optimal approach involves three main steps: traversing the binary tree to collect all the values in an array, sorting the array, and then re-inserting these values back into the tree in the same structure. First, perform an in-order traversal of the binary tree to gather all node values into a list. This captures the node values which can then be sorted to align with BST properties. After sorting, perform another in-order traversal and replace each node's value with the corresponding value from the sorted list. This method ensures that the tree structure remains unchanged while the node values are rearranged to form a BST.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node *left, *right;
};

void inorderTraversal(Node* root, vector<int>& nodes) {
    if (root == nullptr) return;
    inorderTraversal(root->left, nodes);
    nodes.push_back(root->data);
    inorderTraversal(root->right, nodes);
}

void replaceValues(Node* root, vector<int>::iterator& it) {
    if (root == nullptr) return;
    replaceValues(root->left, it);
    root->data = *it;
    ++it;
    replaceValues(root->right, it);
}

void binaryTreeToBST(Node* root) {
    vector<int> nodes;
    inorderTraversal(root, nodes);
    sort(nodes.begin(), nodes.end());
    auto it = nodes.begin();
    replaceValues(root, it);
}

```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the sorting step, and the space complexity is O(n) for storing the node values and recursive stack space."
Binary Search Trees,Convert a normal BST into a Balanced BST,"1. Problem Summary: The task is to convert an unbalanced binary search tree (BST) into a balanced BST to ensure optimal operations like search, insert, and delete, which ideally should have a time complexity of O(log n).

2. Approach: The most efficient method to balance a BST involves first converting the BST into a sorted array (in-order traversal ensures sorted order for BSTs). Then, the array can be used to construct a balanced BST by recursively selecting the middle element as the root, which ensures minimal height. This method leverages the properties of the BST and the nature of a sorted array to efficiently construct a balanced tree. The process of in-order traversal followed by array-to-BST conversion helps intuitively understand the transformation from a linear, sorted structure to a hierarchical, balanced structure.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* left;
    Node* right;
    Node(int x) : data(x), left(nullptr), right(nullptr) {}
};

void storeBSTNodes(Node* root, vector<Node*> &nodes) {
    if (root == nullptr)
        return;
    storeBSTNodes(root->left, nodes);
    nodes.push_back(root);
    storeBSTNodes(root->right, nodes);
}

Node* buildTreeUtil(vector<Node*> &nodes, int start, int end) {
    if (start > end)
        return nullptr;
    int mid = (start + end) / 2;
    Node* node = nodes[mid];
    node->left = buildTreeUtil(nodes, start, mid - 1);
    node->right = buildTreeUtil(nodes, mid + 1, end);
    return node;
}

Node* buildBalancedBST(Node* root) {
    vector<Node*> nodes;
    storeBSTNodes(root, nodes);
    int n = nodes.size();
    return buildTreeUtil(nodes, 0, n - 1);
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) because each node is processed once, and the space complexity is also O(n) due to the storage of tree nodes in the array."
