TOPIC,PROBLEM LINK,SOLUTION
Searching & Sorting,Search in a rotated sorted array,"1. Problem Summary:
   The problem involves finding the index of a target value in an array that has been sorted and then rotated at some unknown pivot. The array initially increasing in order but is then ""rotated"" from a pivot point.

2. Approach:
   The optimal solution uses a modified binary search. Since the array is rotated, one half of the array is always sorted. First, identify which half of the array is sorted by comparing the middle element with the endpoints. If the target lies within the sorted half, adjust the search bounds to this half; otherwise, search in the other half. Repeat this process until the target is found or the search space is exhausted. This approach leverages the sorted property of at least one half of the array to efficiently narrow down the search space.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int searchRotatedArray(vector<int>& nums, int target) {
    int left = 0, right = nums.size() - 1;
    while (left <= right) {
        int mid = left + (right - left) / 2;
        if (nums[mid] == target) return mid;

        // Check if the left half is sorted
        if (nums[left] <= nums[mid]) {
            if (target >= nums[left] && target < nums[mid]) {
                right = mid - 1; // Target is in the left half
            } else {
                left = mid + 1; // Target is in the right half
            }
        } else {
            // Right half must be sorted
            if (target > nums[mid] && target <= nums[right]) {
                left = mid + 1; // Target is in the right half
            } else {
                right = mid - 1; // Target is in the left half
            }
        }
    }
    return -1; // Target not found
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(log n) due to the binary search approach, and the space complexity is O(1) since no additional space is used beyond temporary variables."
Searching & Sorting,square root of an integer,"1. Problem Summary: The problem is to find the square root of a given non-negative integer `x` without using built-in square root functions. The result should be the floor value of the actual square root.

2. Approach: The optimal approach to solve this problem is by using a binary search algorithm. Initialize two pointers, `low` as 0 and `high` as `x`. Compute the mid-point `mid` and compare its square with `x`. If `mid*mid` equals `x`, then `mid` is the square root. If `mid*mid` is less than `x`, move the `low` pointer to `mid + 1`, otherwise move the `high` pointer to `mid - 1`. This binary search continues until `low` exceeds `high`, ensuring that the largest `mid` whose square is less than or equal to `x` is found. This method efficiently narrows down the potential values for the square root by halving the search space in each iteration.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int sqrt(int x) {
    if (x == 0 || x == 1) return x;

    int low = 1, high = x, result = 0;
    while (low <= high) {
        int mid = low + (high - low) / 2;
        // Check if mid is a perfect square root
        if (mid <= x / mid) {
            result = mid;  // mid might be the result
            low = mid + 1; // try for a bigger number
        } else {
            high = mid - 1; // try for a smaller number
        }
    }
    return result;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(log x) due to the binary search, and the space complexity is O(1), using only a few extra variables."
Searching & Sorting,Maximum and minimum of an array using minimum number of comparisons,"1. Problem Summary: The task is to find the maximum and minimum elements in an array using the least number of comparisons, which is a common problem in optimizing algorithm efficiency.

2. Approach: The optimal approach is to use the Tournament Method, which pairs elements and compares them in a divide-and-conquer manner. First, split the array into two halves. For each pair, compare the elements and assign the smaller one to a min candidate and the larger one to a max candidate. This method reduces the total number of comparisons by minimizing redundant comparisons between potential min and max values. By comparing in pairs, each stage ensures that only necessary comparisons are made, thus optimizing the process. This intuitive pairing is similar to a tournament where winners (maximums) and losers (minimums) advance in their respective categories.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

pair<int, int> findMinMax(vector<int>& arr, int low, int high) {
    if (low == high) // If there is only one element
        return {arr[low], arr[low]};

    if (high == low + 1) { // If there are two elements
        if (arr[low] < arr[high])
            return {arr[low], arr[high]};
        else
            return {arr[high], arr[low]};
    }

    int mid = (low + high) / 2;
    pair<int, int> left = findMinMax(arr, low, mid);
    pair<int, int> right = findMinMax(arr, mid + 1, high);

    int min_val = min(left.first, right.first);
    int max_val = max(left.second, right.second);

    return {min_val, max_val};
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) and the space complexity is O(log n) due to the recursive stack space."
Searching & Sorting,Optimum location of point to minimize total distance,"1. Problem Summary:
   The problem involves finding a point (P) on a given straight line (defined by a linear equation) such that the sum of the Euclidean distances from P to a set of given points is minimized.

2. Approach:
   The optimal solution to this problem can be approached using calculus and geometry. First, parameterize the line using a single variable, typically using the line equation in slope-intercept form (y = mx + c) or parametric form (x = x0 + t * dx, y = y0 + t * dy, where dx, dy are direction vectors). For each parameter value, compute the sum of distances from the point on the line (determined by this parameter) to each of the given points. This sum can be treated as a function of the parameter t. The task then is to find the value of t that minimizes this function. This is typically done using a numerical optimization technique like ternary search, especially when the function is unimodal over the range of interest.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

double dist(double x1, double y1, double x2, double y2) {
    return sqrt((x1 - x2) * (x1 - x2) + (y1 - y2) * (y1 - y2));
}

double computeTotalDistance(double t, double x0, double y0, double dx, double dy, vector<pair<double, double>>& points) {
    double totalDist = 0;
    double cx = x0 + t * dx;
    double cy = y0 + t * dy;
    for (auto& p : points) {
        totalDist += dist(cx, cy, p.first, p.second);
    }
    return totalDist;
}

double findOptimalT(double x0, double y0, double dx, double dy, vector<pair<double, double>>& points) {
    double low = -1e6, high = 1e6;
    while (high - low > 1e-7) {
        double mid1 = low + (high - low) / 3;
        double mid2 = high - (high - low) / 3;
        double d1 = computeTotalDistance(mid1, x0, y0, dx, dy, points);
        double d2 = computeTotalDistance(mid2, x0, y0, dx, dy, points);
        if (d1 < d2) high = mid2;
        else low = mid1;
    }
    return (low + high) / 2;
}

// Usage:
// vector<pair<double, double>> points = {{x1, y1}, {x2, y2}, ...};
// double optimalT = findOptimalT(x0, y0, dx, dy, points);
```

4. Time Complexity and Space Complexity:
   The time complexity is O(log(range/error) * n) due to the ternary search and distance calculations, where n is the number of points, and space complexity is O(1)."
Searching & Sorting,Find the repeating and the missing,"1. Problem Summary: The problem involves finding one repeating and one missing number from an array of integers where the integers range from 1 to n. Each number appears exactly once, except for one number which repeats and one number which is missing.

2. Approach: The optimal approach uses the mathematical properties of numbers. Calculate the sum of the first n natural numbers (`sum_n`) and the sum of squares of the first n natural numbers (`sum_n_squares`). Then, compute the sum and sum of squares of the elements in the array (`sum_arr` and `sum_arr_squares`). The difference between `sum_n` and `sum_arr` gives the net difference between the missing and repeating numbers, while the difference between `sum_n_squares` and `sum_arr_squares` gives the difference between the square of the missing number and the square of the repeating number. These two equations can be solved simultaneously to find the missing and repeating numbers.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

pair<int, int> findRepeatingAndMissing(const vector<int>& arr) {
    int n = arr.size();
    long long sum_n = n * (n + 1) / 2;
    long long sum_n_squares = n * (n + 1) * (2 * n + 1) / 6;
    long long sum_arr = 0, sum_arr_squares = 0;

    for (int num : arr) {
        sum_arr += num;
        sum_arr_squares += (long long)num * num;
    }

    long long diff = sum_n - sum_arr; // missing - repeating
    long long sq_diff = sum_n_squares - sum_arr_squares; // missing^2 - repeating^2

    long long sum = sq_diff / diff; // missing + repeating

    int missing = (diff + sum) / 2;
    int repeating = sum - missing;

    return {missing, repeating};
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) and the space complexity is O(1), as the solution involves a single pass through the array and uses a constant amount of extra space."
Searching & Sorting,find majority element,"1. Problem Summary:
   The ""find majority element"" problem entails identifying an element in an array that appears more than n/2 times, where n is the total number of elements in the array.

2. Approach:
   The optimal algorithm to solve this problem is the Boyer-Moore Voting Algorithm. This approach works by maintaining a candidate for the majority element and a count. As we iterate through the array, we adjust the count based on whether the current element matches our candidate. If the count drops to zero, we select a new candidate from the current position. The intuition behind this is that pairs of different elements will cancel each other out, leaving the majority element as the candidate if one exists. This method effectively reduces the problem size while ensuring the majority element, if it exists, is found.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int findMajorityElement(vector<int>& nums) {
    int count = 0;
    int candidate = 0;

    for (int num : nums) {
        if (count == 0) {
            candidate = num;
        }
        count += (num == candidate) ? 1 : -1;
    }

    return candidate; // Additional checks can be added to confirm majority element
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n) and the space complexity is O(1), making this approach highly efficient."
Searching & Sorting,Searching in an array where adjacent differ by at most k,"1. Problem Summary:
   The problem involves finding a target element in an array where the difference between any two adjacent elements is at most k. The challenge is to optimize the search process beyond a simple linear search.

2. Approach:
   The key insight is to utilize the property that adjacent elements differ by at most k to skip certain elements during the search. Start from the first element and use the absolute difference between the current element and the target to calculate the maximum possible jump in the array indices. This jump ensures that no potential target is skipped. If the current element is less than the target, calculate the jump based on the difference and k, and move forward. If the element matches the target, return its index. If the calculated jump is zero (which means the current element is very close to the target but not equal), increment the index by one to continue the search.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int searchInArray(vector<int>& arr, int x, int k) {
    int n = arr.size();
    int i = 0;
    while (i < n) {
        if (arr[i] == x)
            return i;
        // Calculate the jump based on the difference and k
        int jump = max(1, abs(arr[i] - x) / k);
        i += jump;
    }
    return -1; // If element is not found
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n) in the worst case scenario but typically faster depending on the value of k and the differences in the array. Space complexity is O(1)."
Searching & Sorting,find a pair with a given difference,"1. Problem Summary: The problem requires finding a pair of elements in a given array whose difference equals a specified number. The challenge is to find whether such a pair exists and is typically asked to be solved efficiently.

2. Approach: The optimal algorithm uses sorting combined with a two-pointer technique. First, sort the array in ascending order. Initialize two pointers, `i` and `j` both at the start of the array. Incrementally move the pointer `j` to find the required difference with `i`. If the difference between the values at these pointers is less than the target, move `j` to increase the difference. If it's more, move `i` to decrease the difference. Continue this until a pair is found or the pointers validate the entire array. This method intuitively uses the sorted order to efficiently explore possible pairs by adjusting the pointers based on the current difference relative to the target.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool findPairWithGivenDifference(vector<int>& arr, int n) {
    sort(arr.begin(), arr.end());
    int i = 0, j = 1;
    while (i < arr.size() && j < arr.size()) {
        int diff = arr[j] - arr[i];
        if (diff == n) {
            return true;
        } else if (diff < n) {
            j++;
        } else {
            i++;
            if (i == j) j++;  // Ensure j is always ahead of i
        }
    }
    return false;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to sorting, and the space complexity is O(1) if the sorting is done in-place."
Searching & Sorting,find four elements that sum to a given value,"1. Problem Summary: The problem requires finding four distinct elements in an array that sum up to a specific target value. It is a variant of the k-sum problem, where k is 4 in this case.

2. Approach: The optimal approach involves sorting the array and then using a combination of two pointers and hashing for a more efficient search. First, sort the array. For each pair of elements in the sorted array, use two pointers to find the remaining two numbers that make the sum equal to the target. By fixing the first two elements and using two pointers for the remaining part of the array, we reduce the problem to a two-sum problem, which can be solved in linear time. This method avoids the need for a four-nested loop, significantly reducing the time complexity.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

vector<vector<int>> fourSum(vector<int>& nums, int target) {
    sort(nums.begin(), nums.end());
    vector<vector<int>> result;
    int n = nums.size();
    
    for (int i = 0; i < n - 3; i++) {
        if (i > 0 && nums[i] == nums[i-1]) continue; // skip duplicates
        for (int j = i + 1; j < n - 2; j++) {
            if (j > i + 1 && nums[j] == nums[j-1]) continue; // skip duplicates
            int left = j + 1;
            int right = n - 1;
            while (left < right) {
                int sum = nums[i] + nums[j] + nums[left] + nums[right];
                if (sum == target) {
                    result.push_back({nums[i], nums[j], nums[left], nums[right]});
                    while (left < right && nums[left] == nums[left+1]) left++; // skip duplicates
                    while (left < right && nums[right] == nums[right-1]) right--; // skip duplicates
                    left++;
                    right--;
                } else if (sum < target) {
                    left++;
                } else {
                    right--;
                }
            }
        }
    }
    return result;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n^3) due to the three nested loops after sorting, and the space complexity is O(1) if we ignore the space required for the output."
Searching & Sorting,maximum sum such that no 2 elements are adjacent,"1. Problem Summary: The problem is to find the maximum sum of elements from a given array where no two selected elements are adjacent. This is a common dynamic programming problem that tests the understanding of optimizing choices while adhering to constraints.

2. Approach: The optimal algorithm uses dynamic programming to solve this problem. We maintain an array `dp` where `dp[i]` represents the maximum sum we can achieve using the first `i` elements of the array, ensuring no two selected elements are adjacent. At each position `i`, we have two choices: either take the current element or skip it. If we take the current element, we add its value to `dp[i-2]` (since we cannot take the `i-1`th element). If we skip it, the value remains as `dp[i-1]`. The maximum of these two choices will be our `dp[i]`. Start with initializing `dp[0]` to the first element of the array, and `dp[1]` to the maximum of the first two elements.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int maxSumNoTwoAdjacent(vector<int>& nums) {
    if (nums.size() == 0) return 0;
    if (nums.size() == 1) return nums[0];
    vector<int> dp(nums.size());
    dp[0] = nums[0];
    dp[1] = max(nums[0], nums[1]);
    for (int i = 2; i < nums.size(); i++) {
        dp[i] = max(dp[i-1], nums[i] + dp[i-2]);
    }
    return dp[nums.size() - 1];
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) and the space complexity is O(n), where n is the number of elements in the input array."
