TOPIC,PROBLEM NAME,URL,SOLUTION
LinkedList,Write a Program to reverse the Linked List. (Both Iterative and recursive),https://www.geeksforgeeks.org/reverse-a-linked-list/,"1. Problem Summary: The task is to reverse a singly linked list. This can be done using an iterative method or a recursive method, where the order of the nodes in the list is reversed.

2. Approach: In the iterative approach, you initialize three pointers: previous (`prev`), current (`curr`), and next (`next`). Start with `prev` as `NULL` and `curr` as the head of the list. Traverse the list and in each iteration, temporarily store the next node, flip the `curr` node's next pointer to point to `prev`, and advance `prev` and `curr` pointers one step forward. For the recursive approach, the function will call itself for the rest of the list, then adjust the pointers similarly by making the next node of the current node point to the current node itself, effectively reversing their links.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* next;
    Node(int x) : data(x), next(NULL) {}
};

// Iterative approach
Node* reverseListIterative(Node* head) {
    Node* prev = NULL;
    Node* curr = head;
    Node* next = NULL;
    while (curr != NULL) {
        next = curr->next;
        curr->next = prev;
        prev = curr;
        curr = next;
    }
    return prev;
}

// Recursive approach
Node* reverseListRecursive(Node* head) {
    if (head == NULL || head->next == NULL) return head;
    Node* rest = reverseListRecursive(head->next);
    head->next->next = head;
    head->next = NULL;
    return rest;
}
```

4. Time Complexity and Space Complexity: Both iterative and recursive methods have a time complexity of O(n), where n is the number of nodes in the list. The iterative method has a space complexity of O(1), while the recursive method has a space complexity of O(n) due to the stack space used by recursive calls."
LinkedList,Reverse a Linked List in group of Given Size. [Very Imp],https://practice.geeksforgeeks.org/problems/reverse-a-linked-list-in-groups-of-given-size/1,"1. Problem Summary: The problem requires reversing every consecutive sub-list of a linked list of length `k`. If the number of nodes in the last group is less than `k`, they are left as is.

2. Approach: The optimal approach involves using a recursive or iterative method to reverse every block of `k` nodes in the linked list. First, traverse the list to count nodes and check if there are at least `k` nodes to reverse. If yes, reverse the first `k` nodes. Then recursively or iteratively proceed to the next segment of the list. The key is to manage pointers for the current node, previous node, and the next node effectively to detach and reverse segments, then reconnect them properly.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* next;
};

Node* reverseKGroup(Node* head, int k) {
    Node *current = head, *next = nullptr, *prev = nullptr;
    int count = 0;

    // Check if there are at least k nodes left in the linked list
    Node* temp = head;
    for (int i = 0; i < k; ++i) {
        if (!temp) return head;  // Less than k nodes, no need to reverse
        temp = temp->next;
    }

    // Reverse first k nodes
    while (current != nullptr && count < k) {
        next = current->next;
        current->next = prev;
        prev = current;
        current = next;
        count++;
    }

    // Now next points to (k+1)th node, recursively reverse the remaining list
    if (next != nullptr) {
        head->next = reverseKGroup(next, k);
    }

    // prev is now the new head of the input list
    return prev;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the number of nodes in the linked list, as each node is processed once. The space complexity is O(n/k) due to recursive stack space, which can be O(1) if an iterative approach is used."
LinkedList,Write a program to Detect loop in a linked list.,https://practice.geeksforgeeks.org/problems/detect-loop-in-linked-list/1,"1. Problem Summary: The task is to determine if a linked list has a cycle, which occurs when a node’s next pointer points to a previous node in the list, thus forming a loop.

2. Approach: The optimal algorithm to detect a loop in a linked list is Floyd’s Cycle-Finding Algorithm (also known as the tortoise and the hare algorithm). This approach uses two pointers, slow and fast, which move at different speeds. The slow pointer moves one step at a time, while the fast pointer moves two steps at a time. If there is a loop, the fast pointer will eventually meet the slow pointer inside the loop. If the fast pointer reaches the end of the list (null), there is no loop. This method is intuitive as it simulates a race track scenario where a faster runner (fast pointer) will eventually meet the slower runner (slow pointer) again if the track is circular (loop).

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

bool hasCycle(ListNode *head) {
    if (head == nullptr) return false;
    
    ListNode *slow = head;
    ListNode *fast = head->next;
    
    while (fast != nullptr && fast->next != nullptr) {
        if (slow == fast) {
            return true; // Cycle detected
        }
        slow = slow->next;
        fast = fast->next->next;
    }
    
    return false; // No cycle
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the number of nodes in the linked list, and the space complexity is O(1) since no extra space is used beyond the two pointers."
LinkedList,Write a program to Delete loop in a linked list.,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1,"1. Problem Summary: The task is to detect and remove any loop present in a singly linked list. A loop in a linked list occurs when a node's next pointer points to a previous node in the list, causing an infinite cycle.

2. Approach: The optimal approach uses Floyd's Cycle Detection algorithm, also known as the tortoise and the hare algorithm, to first detect the loop. Two pointers, slow and fast (moving at one step and two steps at a time, respectively), are used. When these two pointers meet, a loop is confirmed. To remove the loop, keep one pointer where they met and move the other pointer to the head of the list. Then, move both pointers at the same pace; they will meet at the loop starting node. To remove the loop, find the last node of the loop and set its next pointer to null.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

class Node {
public:
    int data;
    Node* next;
    Node(int val) : data(val), next(nullptr) {}
};

void removeLoop(Node* head) {
    Node *slow = head, *fast = head;
    // Detect loop using Floyd's cycle-finding algorithm
    while (fast != nullptr && fast->next != nullptr) {
        slow = slow->next;
        fast = fast->next->next;
        if (slow == fast) { // Loop detected
            slow = head;
            while (slow->next != fast->next) {
                slow = slow->next;
                fast = fast->next;
            }
            // `fast` is now at the last node of the loop
            fast->next = nullptr; // Remove loop
            return;
        }
    }
}

// Utility function to add node at the end of the list
void appendNode(Node*& head, int val) {
    Node* newNode = new Node(val);
    if (head == nullptr) {
        head = newNode;
    } else {
        Node* temp = head;
        while (temp->next != nullptr) {
            temp = temp->next;
        }
        temp->next = newNode;
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(N) where N is the number of nodes in the linked list, as each node is visited at most twice. The space complexity is O(1) since no additional space proportional to the input size is used."
LinkedList,Find the starting point of the loop. ,https://www.geeksforgeeks.org/find-first-node-of-loop-in-a-linked-list/,"1. Problem Summary: The problem is to detect and return the starting node of a loop in a linked list where the list may contain a cycle, meaning some nodes are revisited.

2. Approach: The optimal algorithm uses Floyd’s Cycle-Finding Algorithm which involves two pointers, often called `slow` and `fast`. Both pointers start at the head of the list. The `fast` pointer moves two steps at a time, and the `slow` pointer moves one step at a time. If there is a loop, they will meet inside the loop. Once they meet, reset one pointer to the head of the list and keep the other at the meeting point, then move both one step at a time. The node where they meet again is the start of the loop. This method leverages the mathematical insight that the distance from the head to the start of the loop equals the distance from the meeting point to the start of the loop, when traversed one step at a time.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* next;
};

Node* findStartOfLoop(Node* head) {
    Node *slow = head, *fast = head;
    bool hasCycle = false;

    // Detect cycle using two-pointer technique
    while (fast != nullptr && fast->next != nullptr) {
        slow = slow->next;
        fast = fast->next->next;
        if (slow == fast) {
            hasCycle = true;
            break;
        }
    }

    // Find the start of the loop
    if (hasCycle) {
        slow = head;
        while (slow != fast) {
            slow = slow->next;
            fast = fast->next;
        }
        return slow; // Both pointers meet at the start of the loop
    }
    return nullptr; // No loop found
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) and the space complexity is O(1), where n is the number of nodes in the linked list."
LinkedList,Remove Duplicates in a sorted Linked List.,https://practice.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1,"1. Problem Summary: In this problem, we are given a sorted linked list, and we need to remove all duplicate numbers such that each element appears only once.

2. Approach: Utilize a single traversal of the linked list to detect and remove duplicates. Start by creating a pointer, `current`, which initially points to the head of the list. As you iterate through the list, compare the value of `current` with the value of `current->next`. If they are the same, it means there's a duplicate; update `current->next` to skip the duplicate node, effectively removing it. If they are different, simply move the `current` pointer forward. This approach ensures that you only keep the first occurrence of each element and remove the subsequent duplicates.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct ListNode {
    int val;
    ListNode *next;
    ListNode() : val(0), next(nullptr) {}
    ListNode(int x) : val(x), next(nullptr) {}
    ListNode(int x, ListNode *next) : val(x), next(next) {}
};

void removeDuplicatesFromSortedList(ListNode* head) {
    ListNode* current = head;
    while (current != nullptr && current->next != nullptr) {
        if (current->val == current->next->val) {
            ListNode* temp = current->next;
            current->next = temp->next;
            delete temp;
        } else {
            current = current->next;
        }
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n), where n is the number of nodes in the list, as we traverse the list once. The space complexity is O(1) since no additional space is used apart from temporary pointers."
LinkedList,Remove Duplicates in a Un-sorted Linked List.,https://practice.geeksforgeeks.org/problems/remove-duplicates-from-an-unsorted-linked-list/1,"1. Problem Summary: The task is to remove duplicate values from an unsorted linked list. Each node in the linked list contains a single data value and a reference to the next node.

2. Approach: The optimal way to remove duplicates from an unsorted linked list is to traverse the list while keeping track of the values seen using a hash set. For each node, check if its value exists in the hash set. If it does, adjust the links to skip the current node, effectively removing it from the list. If it doesn't, add the node's value to the set and proceed. This method ensures each value only appears once in the linked list, and nodes are only visited once, making it efficient.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* next;
};

void removeDuplicates(Node* head) {
    if (head == nullptr) return;

    unordered_set<int> seen;
    Node* current = head;
    Node* prev = nullptr;

    while (current != nullptr) {
        if (seen.find(current->data) != seen.end()) {
            prev->next = current->next; // Skip the current node
        } else {
            seen.insert(current->data);
            prev = current;
        }
        current = current->next;
    }
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n) where n is the number of nodes in the list, as each node is processed once. The space complexity is O(n) due to the storage required for the hash set."
LinkedList,Write a Program to Move the last element to Front in a Linked List.,https://www.geeksforgeeks.org/move-last-element-to-front-of-a-given-linked-list/,"1. Problem Summary:
   The task is to modify a given singly linked list by moving its last element to the front. This operation should adjust the pointers accordingly without creating a new list.

2. Approach:
   Start by checking if the linked list is empty or has only one node; if either condition is true, return the list as is. Otherwise, traverse the list to find the second last node using a pointer. This pointer helps in identifying the last node and modifying the next pointers without needing extra space. Set the next of the second last node to null to remove the last node from the end, then point the next of the last node to the head of the list, and finally update the head of the list to this last node. This approach efficiently repositions the last node with minimal pointer operations.

3. Pseudo-code:
   ```cpp
   #include <bits/stdc++.h>
   using namespace std;

   struct Node {
       int data;
       Node* next;
       Node(int x) : data(x), next(nullptr) {}
   };

   void moveLastToFront(Node** head) {
       if (*head == nullptr || (*head)->next == nullptr) return; // No need to move if list is empty or has one node

       Node* secondLast = nullptr;
       Node* last = *head;

       // Find the second last node
       while (last->next != nullptr) {
           secondLast = last;
           last = last->next;
       }

       // Relink nodes
       secondLast->next = nullptr; // Break the link of second last with last
       last->next = *head;         // Link last node with the head of the list
       *head = last;               // Make last node the new head
   }
   ```

4. Time Complexity and Space Complexity:
   The time complexity is O(n), where n is the number of nodes, as it involves a single traversal of the list. The space complexity is O(1) since no additional space is used beyond pointers."
LinkedList,Add “1” to a number represented as a Linked List.,https://practice.geeksforgeeks.org/problems/add-1-to-a-number-represented-as-linked-list/1,"1. Problem Summary:  
   The problem involves adding one to a number that is represented as a linked list, where each node contains a single digit. The digits are stored in reverse order, meaning the least significant digit is at the head of the list.

2. Approach:  
   Begin by reversing the linked list so that the least significant digit becomes the last node, simplifying the addition process. Traverse the reversed list, starting from the head, and add one to the first node. Propagate any carry forward by continuing to add it to the next node until there are no carries left or you reach the end of the list. If there is a carry left when the end of the list is reached, append a new node with the carry. Finally, reverse the list again to restore the original order but updated with the addition.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Node {
    int data;
    Node* next;
};

Node* reverseLinkedList(Node* head) {
    Node *prev = nullptr, *current = head, *next = nullptr;
    while (current != nullptr) {
        next = current->next;
        current->next = prev;
        prev = current;
        current = next;
    }
    return prev;
}

Node* addOneToLinkedList(Node* head) {
    head = reverseLinkedList(head);
    Node* current = head;
    int carry = 1; // Initial carry is 1 because we are adding 1
    while (current != nullptr && carry > 0) {
        current->data += carry;
        carry = current->data / 10;
        current->data %= 10;
        if (current->next == nullptr && carry > 0) {
            current->next = new Node{carry, nullptr};
            carry = 0;
        }
        current = current->next;
    }
    return reverseLinkedList(head);
}
```

4. Time Complexity and Space Complexity:  
   The time complexity is O(n) where n is the number of nodes in the linked list, as we potentially traverse the list up to three times (twice for reversing and once for adding). The space complexity is O(1) since we use a constant amount of extra space."
LinkedList,Add two numbers represented by linked lists.,https://practice.geeksforgeeks.org/problems/add-two-numbers-represented-by-linked-lists/1,"1. Problem Summary: Given two numbers represented by two linked lists, where each node contains a single digit, the task is to add these two numbers and return the sum as a linked list. The digits are stored in reverse order, meaning the 1's digit is at the head of the list.

2. Approach: Start by initializing a dummy node which will eventually be the head of the resulting linked list and a pointer `current` to track the current node for result insertion. Use a variable `carry` to keep track of any overflow between digits. Iterate through both linked lists simultaneously, adding corresponding digits along with the `carry` from the previous step. If a list is exhausted, continue with the remaining digits of the other list. After the loop, check if there's any remaining `carry` and add it as a new node. This approach ensures that we handle different lengths of lists and possible carry over the largest digit.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct ListNode {
    int val;
    ListNode *next;
    ListNode(int x) : val(x), next(NULL) {}
};

ListNode* addTwoNumbers(ListNode* l1, ListNode* l2) {
    ListNode dummy(0);
    ListNode* current = &dummy;
    int carry = 0;
    
    while (l1 != NULL || l2 != NULL || carry != 0) {
        int sum = carry;
        if (l1 != NULL) {
            sum += l1->val;
            l1 = l1->next;
        }
        if (l2 != NULL) {
            sum += l2->val;
            l2 = l2->next;
        }
        carry = sum / 10;
        current->next = new ListNode(sum % 10);
        current = current->next;
    }
    
    return dummy.next;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(max(n, m)) where n and m are the lengths of the two linked lists. The space complexity is O(max(n, m)) for the new list."
