TOPIC,PROBLEM NAME,URL,SOLUTION
Greedy,Activity Selection Problem,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room/0,"1. Problem Summary: The Activity Selection Problem involves selecting the maximum number of activities that don't overlap in time from a given set of activities. Each activity has a start time and an end time.

2. Approach: The optimal solution for the Activity Selection Problem is a greedy algorithm. First, sort all the activities based on their end times. Start by selecting the activity that ends first, and then select the next activity that starts after the last selected activity ends. Continue this process until no more activities can be selected. This method ensures that we maximize the number of non-overlapping activities by always choosing the activity that leaves the most room for subsequent activities.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

vector<int> selectActivities(vector<pair<int,int>> activities) {
    vector<int> selected;
    // Sort activities based on their end times
    sort(activities.begin(), activities.end(), [](const pair<int, int> &a, const pair<int, int> &b) {
        return a.second < b.second;
    });

    // Initialize the last finished time
    int lastEndTime = 0;

    // Iterate over sorted activities
    for(auto activity : activities) {
        if(activity.first >= lastEndTime) {
            // Select the activity if it starts after or when the last selected one ended
            selected.push_back(activity.first);
            lastEndTime = activity.second;
        }
    }
    return selected;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the sorting step, and the space complexity is O(1) if we ignore the input and output storage."
Greedy,Job SequencingProblem,https://practice.geeksforgeeks.org/problems/job-sequencing-problem/0,"1. Problem Summary: The Job Sequencing Problem requires scheduling a set of jobs, each with a deadline and profit, such that the total profit from jobs completed before their deadlines is maximized. Each job takes a single unit of time to complete.

2. Approach: The optimal approach to solve this problem is to use a greedy algorithm. First, sort all the jobs based on their profit in descending order. Initialize an array or a time slot tracker to mark which time slots are free (up to the maximum deadline encountered). For each job in the sorted list, find the latest slot before the job's deadline that is still free, and schedule the job there. This way, you maximize the profit for each slot filled and ensure jobs with higher profits are given preference.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Job {
    int id;     // Job ID
    int dead;   // Deadline of job
    int profit; // Profit if job is completed
};

bool comparison(Job a, Job b) {
    return (a.profit > b.profit);
}

vector<int> JobScheduling(Job arr[], int n) {
    sort(arr, arr + n, comparison); // Sort jobs based on descending profit
    int maxDeadline = 0;
    for (int i = 0; i < n; i++)
        maxDeadline = max(maxDeadline, arr[i].dead);
    
    vector<int> slot(maxDeadline + 1, -1); // Time slots initialization

    int countJobs = 0, jobProfit = 0;
    for (int i = 0; i < n; i++) {
        for (int j = arr[i].dead; j > 0; j--) {
            if (slot[j] == -1) { // If slot is free
                slot[j] = i;     // Assign this slot with job i
                countJobs++;
                jobProfit += arr[i].profit;
                break;
            }
        }
    }
    return {countJobs, jobProfit}; // Return number of jobs and total profit
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the sorting operation, followed by O(n*m) for scheduling where m is the maximum deadline. The space complexity is O(m) for the slot array."
Greedy,Huffman Coding,https://practice.geeksforgeeks.org/problems/huffman-encoding/0,"1. Problem Summary: Huffman Coding is a compression technique used to reduce the size of data by encoding frequently occurring characters with shorter codes and less frequent characters with longer codes. It uses a binary tree where each leaf node represents a character, and the path from the root to the leaf represents the character's binary code.

2. Approach: Huffman Coding utilizes a greedy algorithm to build an optimal binary tree, where the goal is to minimize the weighted path length. First, each character is treated as a node and is associated with its frequency. These nodes are inserted into a priority queue (min-heap). The algorithm repeatedly extracts the two nodes with the smallest frequencies, creates a new node with these two as children and a frequency equal to the sum of the two, and inserts this new node back into the priority queue. This process continues until only one node remains, which becomes the root of the Huffman tree. The paths from the root to each leaf determine the Huffman codes.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Node {
    char character;
    int freq;
    Node *left, *right;
    
    Node(char character, int freq) : character(character), freq(freq), left(nullptr), right(nullptr) {}
};

struct Compare {
    bool operator()(Node* l, Node* r) {
        return l->freq > r->freq;
    }
};

void printCodes(Node* root, string str) {
    if (!root) return;
    if (root->character != '$')
        cout << root->character << "": "" << str << ""\n"";
    printCodes(root->left, str + ""0"");
    printCodes(root->right, str + ""1"");
}

void HuffmanCoding(vector<char>& data, vector<int>& freq, int size) {
    priority_queue<Node*, vector<Node*>, Compare> minHeap;

    for (int i = 0; i < size; ++i)
        minHeap.push(new Node(data[i], freq[i]));

    while (minHeap.size() != 1) {
        Node *left = minHeap.top();
        minHeap.pop();
        Node *right = minHeap.top();
        minHeap.pop();

        Node *top = new Node('$', left->freq + right->freq);
        top->left = left;
        top->right = right;
        minHeap.push(top);
    }

    printCodes(minHeap.top(), """");
}

int main() {
    vector<char> data = {'a', 'b', 'c', 'd', 'e', 'f'};
    vector<int> freq = {5, 9, 12, 13, 16, 45};
    int size = data.size();

    HuffmanCoding(data, freq, size);
    return 0;
}
```

4. Time Complexity and Space Complexity: The time complexity of Huffman Coding is O(n log n), where n is the number of unique characters, due to the operations on the priority queue. The space complexity is O(n), as it requires storing the tree nodes and the priority queue."
Greedy,Water Connection Problem,https://practice.geeksforgeeks.org/problems/water-connection-problem/0,"1. Problem Summary:
   The Water Connection Problem involves finding the number of water distribution systems in a network of pipes and houses, each system characterized by its diameter. Each house can either receive water from one pipe, send water through another, or both.

2. Approach:
   To solve the problem, we first represent the network as a directed graph where nodes are houses and edges are pipes with weights as diameters. We identify starting nodes for each system (nodes with only outgoing edges and no incoming ones). For each starting node, we traverse the graph using a depth-first search (DFS) to find the minimum diameter along the path until a terminal node (node with no outgoing edges) is reached. During traversal, maintain the minimum diameter encountered. This approach intuitively follows the flow of water from a source to its endpoint, ensuring we account for the smallest diameter (bottleneck) in each system.

3. Pseudo-code:
   ```cpp
   #include<bits/stdc++.h>
   using namespace std;

   void dfs(int node, int &min_diameter, vector<bool> &visited, vector<pair<int, int>> &adj) {
       visited[node] = true;
       for (auto &edge : adj[node]) {
           if (!visited[edge.first]) {
               min_diameter = min(min_diameter, edge.second);
               dfs(edge.first, min_diameter, visited, adj);
           }
       }
   }

   void findWaterSystems(vector<tuple<int, int, int>> &pipes, int n) {
       vector<pair<int, int>> adj[n+1];
       vector<bool> hasIncoming(n+1, false);
       vector<bool> visited(n+1, false);

       // Build graph
       for (auto &pipe : pipes) {
           int u = get<0>(pipe), v = get<1>(pipe), d = get<2>(pipe);
           adj[u].push_back({v, d});
           hasIncoming[v] = true;
       }

       // Find all systems
       for (int i = 1; i <= n; ++i) {
           if (!hasIncoming[i] && !adj[i].empty()) { // potential starting node
               int min_diameter = INT_MAX;
               dfs(i, min_diameter, visited, adj);
               cout << ""System from "" << i << "" with min diameter "" << min_diameter << endl;
           }
       }
   }
   ```

4. Time Complexity and Space Complexity:
   The time complexity is O(N + P) and the space complexity is O(N + P), where N is the number of houses and P is the number of pipes. This accounts for building the graph and traversing it."
Greedy,Fractional Knapsack Problem,https://practice.geeksforgeeks.org/problems/fractional-knapsack/0,"1. Problem Summary:
   The Fractional Knapsack Problem involves selecting items with given weights and values to maximize the total value in a knapsack with a weight capacity limit. Unlike the 0/1 knapsack, items can be broken into smaller pieces.

2. Approach:
   The optimal approach for the Fractional Knapsack Problem is a greedy algorithm. First, calculate the value per weight ratio for each item. Then, sort the items based on this ratio in descending order. Start filling the knapsack from the item with the highest ratio and continue to the next highest, adding as much of an item as possible until the knapsack reaches its capacity limit. This method ensures maximum value accumulation by prioritizing items that offer the most value per unit weight.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

struct Item {
    int value, weight;
};

bool compare(Item a, Item b) {
    double r1 = (double)a.value / a.weight;
    double r2 = (double)b.value / b.weight;
    return r1 > r2;
}

double fractionalKnapsack(int W, Item arr[], int n) {
    sort(arr, arr + n, compare);
    
    int curWeight = 0;
    double finalValue = 0.0;
    
    for (int i = 0; i < n; i++) {
        if (curWeight + arr[i].weight <= W) {
            curWeight += arr[i].weight;
            finalValue += arr[i].value;
        } else {
            int remain = W - curWeight;
            finalValue += (arr[i].value / (double)arr[i].weight) * remain;
            break;
        }
    }
    return finalValue;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n log n) due to the sorting step, and the space complexity is O(1) beyond the input storage."
Greedy,Greedy Algorithm to find Minimum number of Coins,https://practice.geeksforgeeks.org/problems/coin-piles/0,"1. Problem Summary: The problem requires determining the minimum number of coins needed to make a specific amount of money using the highest denomination coins available first. The denominations have unlimited supply.

2. Approach: To solve this, a greedy algorithm is used which always selects the largest denomination that does not exceed the remaining amount of money. Start by sorting the coin denominations in descending order. Then, iteratively subtract the largest denomination from the amount until the amount is reduced to zero, counting the number of coins used. This method works efficiently given that the coin denominations are standard (like in most currencies where larger denominations are multiples or combinations of smaller ones).

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int findMinimumCoins(int amount, vector<int>& coins) {
    sort(coins.rbegin(), coins.rend()); // Sort coins in descending order
    int count = 0;
    for (int coin : coins) {
        if (amount == 0) break; // If no amount left, break the loop
        count += amount / coin; // Use as many of this coin as possible
        amount %= coin; // Reduce the amount by the total value of used coins
    }
    return count;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to sorting, where n is the number of coin denominations. The space complexity is O(1), assuming the sorting is done in-place."
Greedy,Maximum trains for which stoppage can be provided,https://www.geeksforgeeks.org/maximum-trains-stoppage-can-provided/,"1. Problem Summary: The problem requires scheduling the maximum number of trains that can stop at a station given their arrival and departure times, ensuring no two trains occupy the platform at the same time.

2. Approach: The core idea is to use a greedy algorithm to select the maximum number of non-overlapping intervals (trains). First, sort the trains based on their departure times. Then, iteratively select trains that start after or when the last selected train departs. This method ensures that the maximum number of trains is selected without any overlap in their schedules. The sorting step helps in quickly finding the next available train that can be accommodated after the current train leaves.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

struct Train {
    int start, end;
};

bool compare(Train a, Train b) {
    return a.end < b.end;
}

int maxTrains(vector<Train>& trains) {
    sort(trains.begin(), trains.end(), compare);
    int count = 0;
    int lastDeparture = -1;
    for (auto& train : trains) {
        if (train.start > lastDeparture) {
            lastDeparture = train.end;
            count++;
        }
    }
    return count;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(n log n) due to the sorting step, and the space complexity is O(1) if we ignore the input storage."
Greedy,Minimum Platforms Problem,https://practice.geeksforgeeks.org/problems/minimum-platforms/0,"1. Problem Summary:
   The Minimum Platforms Problem involves finding the minimum number of railway platforms required at a station so that no train is kept waiting due to a lack of available platforms. Given the arrival and departure times of all trains, one must ensure that at no point do trains overlap on the same platform without available space.

2. Approach:
   The optimal approach is to use a greedy algorithm with sorting and merging intervals. First, sort the arrival and departure times separately. Use two pointers to traverse the arrival and departure arrays. For each arriving train, check if a departure has occurred before the next arrival to free up a platform; if not, increment the count of platforms needed. This approach effectively tracks the maximum overlap of trains at any given time, which corresponds to the minimum number of platforms required.

3. Pseudo-code:
   ```cpp
   #include<bits/stdc++.h>
   using namespace std;

   int findMinPlatforms(vector<int> &arrivals, vector<int> &departures) {
       sort(arrivals.begin(), arrivals.end());
       sort(departures.begin(), departures.end());
       int n = arrivals.size();
       
       int platform_needed = 0, max_platforms = 0;
       int i = 0, j = 0;
       
       while (i < n && j < n) {
           if (arrivals[i] <= departures[j]) {
               platform_needed++;
               i++;
               max_platforms = max(max_platforms, platform_needed);
           } else {
               platform_needed--;
               j++;
           }
       }
       return max_platforms;
   }
   ```

4. Time Complexity and Space Complexity:
   The time complexity is O(N log N) due to sorting, where N is the number of trains. The space complexity is O(1) as no additional space proportional to input size is used beyond variables for iteration and counting."
Greedy,Buy Maximum Stocks if i stocks can be bought on i-th day,https://www.geeksforgeeks.org/buy-maximum-stocks-stocks-can-bought-th-day/,"1. Problem Summary:
   In this problem, you are given the price of stocks on different days and you can buy up to 'i' stocks on the 'i-th' day. The objective is to maximize the number of stocks bought with a given amount of money.

2. Approach:
   The key to solving this problem is to prioritize buying stocks on days when they are cheapest, while also considering the maximum limit of stocks that can be bought on each day. First, pair each stock price with its day and sort these pairs by price. Then, iterate through the sorted list, buying as many stocks as possible on each day without exceeding the day's limit or running out of money. This greedy strategy ensures that you spend your money in the most efficient way possible, maximizing the number of stocks purchased.

3. Pseudo-code:
```cpp
#include <bits/stdc++.h>
using namespace std;

int buyMaximumProducts(int n, int k, vector<int> price) {
    vector<pair<int, int>> dayPrices;
    for (int i = 0; i < n; i++) {
        dayPrices.push_back({price[i], i + 1});
    }
    sort(dayPrices.begin(), dayPrices.end());

    int totalStocks = 0;
    for (int i = 0; i < n && k > 0; i++) {
        int price = dayPrices[i].first;
        int maxBuy = dayPrices[i].second;
        int stocksToBuy = min(maxBuy, k / price);
        totalStocks += stocksToBuy;
        k -= stocksToBuy * price;
    }
    return totalStocks;
}
```

4. Time Complexity and Space Complexity:
   The time complexity is O(n log n) due to sorting, and the space complexity is O(n) for storing the day and price pairs."
Greedy,Find the minimum and maximum amount to buy all N candies,https://practice.geeksforgeeks.org/problems/shop-in-candy-store/0,"1. Problem Summary: The problem involves finding the minimum and maximum amount required to buy all N candies, where the price of each candy is given in an array. The buying strategy allows purchasing one candy at its listed price and getting another candy for free, if available.

2. Approach: To solve this problem, we should first sort the array of candy prices. For finding the minimum amount, start buying the candies from the cheapest, and for each candy bought, skip the next one (as it's free). For the maximum amount, start buying the candies from the most expensive and apply the same skipping strategy. This greedy approach ensures that for the minimum cost, cheaper candies are paired for offers, and for maximum cost, the expensive candies are utilized effectively before the cheaper ones.

3. Pseudo-code:
```cpp
#include<bits/stdc++.h>
using namespace std;

int minCost(vector<int> &prices) {
    sort(prices.begin(), prices.end());
    int totalCost = 0;
    int n = prices.size();
    for (int i = 0; i < n; i += 2) {
        totalCost += prices[i];
    }
    return totalCost;
}

int maxCost(vector<int> &prices) {
    sort(prices.begin(), prices.end(), greater<int>());
    int totalCost = 0;
    int n = prices.size();
    for (int i = 0; i < n; i += 2) {
        totalCost += prices[i];
    }
    return totalCost;
}
```

4. Time Complexity and Space Complexity: The time complexity is O(N log N) due to the sorting of the array, and the space complexity is O(1), assuming the sort is done in-place."
